,promo_id,promo_name,promo_type,discount_value,start_date,end_date,applicable_category,promo_channel,stackable_flag,min_order_value
46,PROMO-0014-0047,Year-End Sale 2015,percentage,20.0,2015-11-18,2016-01-02,all_category,all_channels,1,150000
47,PROMO-0050-0048,Year-End Sale 2022,percentage,20.0,2022-11-18,2022-12-31,all_category,all_channels,0,50000
48,PROMO-0009-0049,Fall Launch 2014,percentage,10.0,2014-08-30,2014-10-01,all_category,all_channels,0,100000
49,PROMO-0026-0050,Rural Special 2017,percentage,15.0,2017-01-30,2017-03-01,Outdoor,in_store,0,0
50,PROMO-0002-0051,Mid-Year Sale 2013,percentage,18.0,2013-06-23,2013-07-22,all_category,online,0,0
51,PROMO-0020-0052,Year-End Sale 2016,percentage,20.0,2016-11-18,2017-01-02,all_category,all_channels,0,0
52,PROMO-0028-0053,Mid-Year Sale 2018,percentage,18.0,2018-06-23,2018-07-22,all_category,social_media,0,150000
53,PROMO-0047-0054,Spring Sale 2022,percentage,12.0,2022-03-18,2022-04-17,all_category,all_channels,1,0
54,PROMO-0007-0055,Spring Sale 2014,percentage,12.0,2014-03-18,2014-04-17,all_category,email,1,0
55,PROMO-0044-0056,Year-End Sale 2021,percentage,20.0,2021-11-18,2022-01-02,all_category,all_channels,1,0
56,PROMO-0008-0057,Mid-Year Sale 2014,percentage,18.0,2014-06-23,2014-07-22,all_category,social_media,0,0
57,PROMO-0047-0058,Spring Sale 2022,percentage,12.0,2022-03-18,2022-04-17,all_category,all_channels,1,0
58,PROMO-0035-0059,Urban Blowout 2019,fixed,50.0,2019-07-30,2019-09-02,Streetwear,online,0,100000
59,PROMO-0014-0060,Year-End Sale 2015,percentage,20.0,2015-11-18,2016-01-02,all_category,all_channels,1,150000
60,PROMO-0017-0061,Spring Sale 2016,percentage,12.0,2016-03-18,2016-04-17,all_category,all_channels,0,0
61,PROMO-0036-0062,Rural Special 2019,percentage,15.0,2019-01-30,2019-03-01,Outdoor,in_store,1,150000
62,PROMO-0050-0063,Year-End Sale 2022,percentage,20.0,2022-11-18,2022-12-31,all_category,all_channels,0,50000
63,PROMO-0040-0064,Year-End Sale 2020,percentage,20.0,2020-11-18,2021-01-01,all_category,all_channels,0,0
64,PROMO-0004-0065,Year-End Sale 2013,percentage,20.0,2013-11-18,2014-01-02,all_category,all_channels,0,50000
65,PROMO-0002-0066,Mid-Year Sale 2013,percentage,18.0,2013-06-23,2013-07-22,all_category,online,0,0
66,PROMO-0006-0067,Rural Special 2013,percentage,15.0,2013-01-31,2013-03-01,Outdoor,in_store,0,0
67,PROMO-0042-0068,Mid-Year Sale 2021,percentage,18.0,2021-06-23,2021-07-22,all_category,social_media,1,0
68,PROMO-0004-0069,Year-End Sale 2013,percentage,20.0,2013-11-18,2014-01-02,all_category,all_channels,0,50000
69,PROMO-0029-0070,Fall Launch 2018,percentage,10.0,2018-08-30,2018-10-01,all_category,email,0,0
70,PROMO-0018-0071,Mid-Year Sale 2016,percentage,18.0,2016-06-23,2016-07-22,all_category,online,0,0
71,PROMO-0026-0072,Rural Special 2017,percentage,15.0,2017-01-30,2017-03-01,Outdoor,in_store,0,0
72,PROMO-0044-0073,Year-End Sale 2021,percentage,20.0,2021-11-18,2022-01-02,all_category,all_channels,1,0
73,PROMO-0034-0074,Year-End Sale 2019,percentage,20.0,2019-11-18,2020-01-02,all_category,all_channels,0,50000
74,PROMO-0010-0075,Year-End Sale 2014,percentage,20.0,2014-11-19,2015-01-02,all_category,all_channels,0,100000
75,PROMO-0036-0076,Rural Special 2019,percentage,15.0,2019-01-30,2019-03-01,Outdoor,in_store,1,150000
76,PROMO-0014-0077,Year-End Sale 2015,percentage,20.0,2015-11-18,2016-01-02,all_category,all_channels,1,150000
77,PROMO-0031-0078,Spring Sale 2019,percentage,12.0,2019-03-18,2019-04-17,all_category,online,1,150000
78,PROMO-0048-0079,Mid-Year Sale 2022,percentage,18.0,2022-06-23,2022-07-22,all_category,online,0,0
79,PROMO-0015-0080,Urban Blowout 2015,fixed,50.0,2015-07-30,2015-09-02,Streetwear,online,0,200000
80,PROMO-0008-0081,Mid-Year Sale 2014,percentage,18.0,2014-06-23,2014-07-22,all_category,social_media,0,0
81,PROMO-0014-0082,Year-End Sale 2015,percentage,20.0,2015-11-18,2016-01-02,all_category,all_channels,1,150000
82,PROMO-0023-0083,Fall Launch 2017,percentage,10.0,2017-08-30,2017-10-02,all_category,all_channels,1,0
83,PROMO-0040-0084,Year-End Sale 2020,percentage,20.0,2020-11-18,2021-01-01,all_category,all_channels,0,0
84,PROMO-0021-0085,Spring Sale 2017,percentage,12.0,2017-03-18,2017-04-17,all_category,all_channels,0,0
85,PROMO-0016-0086,Rural Special 2015,percentage,15.0,2015-01-30,2015-03-01,Outdoor,in_store,0,0
86,PROMO-0045-0087,Urban Blowout 2021,fixed,50.0,2021-07-30,2021-09-02,Streetwear,online,0,200000
87,PROMO-0018-0088,Mid-Year Sale 2016,percentage,18.0,2016-06-23,2016-07-22,all_category,online,0,0
88,PROMO-0047-0089,Spring Sale 2022,percentage,12.0,2022-03-18,2022-04-17,all_category,all_channels,1,0
89,PROMO-0024-0090,Year-End Sale 2017,percentage,20.0,2017-11-18,2018-01-02,all_category,all_channels,0,0
90,PROMO-0026-0091,Rural Special 2017,percentage,15.0,2017-01-30,2017-03-01,Outdoor,in_store,0,0
91,PROMO-0025-0092,Urban Blowout 2017,fixed,50.0,2017-07-30,2017-09-02,Streetwear,online,0,150000
92,PROMO-0045-0093,Urban Blowout 2021,fixed,50.0,2021-07-30,2021-09-02,Streetwear,online,0,200000
93,PROMO-0041-0094,Spring Sale 2021,percentage,12.0,2021-03-18,2021-04-17,all_category,online,1,0
94,PROMO-0029-0095,Fall Launch 2018,percentage,10.0,2018-08-30,2018-10-01,all_category,email,0,0
95,PROMO-0015-0096,Urban Blowout 2015,fixed,50.0,2015-07-30,2015-09-02,Streetwear,online,0,200000
96,PROMO-0045-0097,Urban Blowout 2021,fixed,50.0,2021-07-30,2021-09-02,Streetwear,online,0,200000
97,PROMO-0001-0098,Spring Sale 2013,percentage,12.0,2013-03-18,2013-04-17,all_category,email,1,0
98,PROMO-0025-0099,Urban Blowout 2017,fixed,50.0,2017-07-30,2017-09-02,Streetwear,online,0,150000
99,PROMO-0007-0100,Spring Sale 2014,percentage,12.0,2014-03-18,2014-04-17,all_category,email,1,0
100,PROMO-0009-0101,Fall Launch 2014,percentage,10.0,2014-08-30,2014-10-01,all_category,all_channels,0,100000
101,PROMO-0024-0102,Year-End Sale 2017,percentage,20.0,2017-11-18,2018-01-02,all_category,all_channels,0,0
102,PROMO-0001-0103,Spring Sale 2013,percentage,12.0,2013-03-18,2013-04-17,all_category,email,1,0
103,PROMO-0044-0104,Year-End Sale 2021,percentage,20.0,2021-11-18,2022-01-02,all_category,all_channels,1,0
104,PROMO-0008-0105,Mid-Year Sale 2014,percentage,18.0,2014-06-23,2014-07-22,all_category,social_media,0,0
105,PROMO-0024-0106,Year-End Sale 2017,percentage,20.0,2017-11-18,2018-01-02,all_category,all_channels,0,0
106,PROMO-0011-0107,Spring Sale 2015,percentage,12.0,2015-03-18,2015-04-17,all_category,all_channels,1,100000
107,PROMO-0017-0108,Spring Sale 2016,percentage,12.0,2016-03-18,2016-04-17,all_category,all_channels,0,0
108,PROMO-0008-0109,Mid-Year Sale 2014,percentage,18.0,2014-06-23,2014-07-22,all_category,social_media,0,0
109,PROMO-0035-0110,Urban Blowout 2019,fixed,50.0,2019-07-30,2019-09-02,Streetwear,online,0,100000
110,PROMO-0035-0111,Urban Blowout 2019,fixed,50.0,2019-07-30,2019-09-02,Streetwear,online,0,100000
111,PROMO-0033-0112,Fall Launch 2019,percentage,10.0,2019-08-30,2019-10-01,all_category,email,0,50000
112,PROMO-0005-0113,Urban Blowout 2013,fixed,50.0,2013-07-30,2013-09-02,Streetwear,online,0,150000
113,PROMO-0042-0114,Mid-Year Sale 2021,percentage,18.0,2021-06-23,2021-07-22,all_category,social_media,1,0
114,PROMO-0039-0115,Fall Launch 2020,percentage,10.0,2020-08-30,2020-10-01,all_category,all_channels,0,150000
115,PROMO-0041-0116,Spring Sale 2021,percentage,12.0,2021-03-18,2021-04-17,all_category,online,1,0
116,PROMO-0028-0117,Mid-Year Sale 2018,percentage,18.0,2018-06-23,2018-07-22,all_category,social_media,0,150000
117,PROMO-0007-0118,Spring Sale 2014,percentage,12.0,2014-03-18,2014-04-17,all_category,email,1,0
118,PROMO-0009-0119,Fall Launch 2014,percentage,10.0,2014-08-30,2014-10-01,all_category,all_channels,0,100000
119,PROMO-0008-0120,Mid-Year Sale 2014,percentage,18.0,2014-06-23,2014-07-22,all_category,social_media,0,0
120,PROMO-0012-0121,Mid-Year Sale 2015,percentage,18.0,2015-06-23,2015-07-22,all_category,social_media,0,0
121,PROMO-0034-0122,Year-End Sale 2019,percentage,20.0,2019-11-18,2020-01-02,all_category,all_channels,0,50000
122,PROMO-0033-0123,Fall Launch 2019,percentage,10.0,2019-08-30,2019-10-01,all_category,email,0,50000
123,PROMO-0048-0124,Mid-Year Sale 2022,percentage,18.0,2022-06-23,2022-07-22,all_category,online,0,0
124,PROMO-0023-0125,Fall Launch 2017,percentage,10.0,2017-08-30,2017-10-02,all_category,all_channels,1,0
125,PROMO-0024-0126,Year-End Sale 2017,percentage,20.0,2017-11-18,2018-01-02,all_category,all_channels,0,0
126,PROMO-0037-0127,Spring Sale 2020,percentage,12.0,2020-03-18,2020-04-17,all_category,online,0,0
127,PROMO-0035-0128,Urban Blowout 2019,fixed,50.0,2019-07-30,2019-09-02,Streetwear,online,0,100000
128,PROMO-0044-0129,Year-End Sale 2021,percentage,20.0,2021-11-18,2022-01-02,all_category,all_channels,1,0
129,PROMO-0040-0130,Year-End Sale 2020,percentage,20.0,2020-11-18,2021-01-01,all_category,all_channels,0,0
130,PROMO-0022-0131,Mid-Year Sale 2017,percentage,18.0,2017-06-23,2017-07-22,all_category,online,0,150000
131,PROMO-0027-0132,Spring Sale 2018,percentage,12.0,2018-03-18,2018-04-17,all_category,all_channels,0,100000
132,PROMO-0035-0133,Urban Blowout 2019,fixed,50.0,2019-07-30,2019-09-02,Streetwear,online,0,100000
133,PROMO-0001-0134,Spring Sale 2013,percentage,12.0,2013-03-18,2013-04-17,all_category,email,1,0
134,PROMO-0035-0135,Urban Blowout 2019,fixed,50.0,2019-07-30,2019-09-02,Streetwear,online,0,100000
135,PROMO-0037-0136,Spring Sale 2020,percentage,12.0,2020-03-18,2020-04-17,all_category,online,0,0
136,PROMO-0047-0137,Spring Sale 2022,percentage,12.0,2022-03-18,2022-04-17,all_category,all_channels,1,0
137,PROMO-0014-0138,Year-End Sale 2015,percentage,20.0,2015-11-18,2016-01-02,all_category,all_channels,1,150000
138,PROMO-0003-0139,Fall Launch 2013,percentage,10.0,2013-08-30,2013-10-02,all_category,email,0,0
139,PROMO-0001-0140,Spring Sale 2013,percentage,12.0,2013-03-18,2013-04-17,all_category,email,1,0
140,PROMO-0005-0141,Urban Blowout 2013,fixed,50.0,2013-07-30,2013-09-02,Streetwear,online,0,150000
141,PROMO-0026-0142,Rural Special 2017,percentage,15.0,2017-01-30,2017-03-01,Outdoor,in_store,0,0
142,PROMO-0014-0143,Year-End Sale 2015,percentage,20.0,2015-11-18,2016-01-02,all_category,all_channels,1,150000
143,PROMO-0039-0144,Fall Launch 2020,percentage,10.0,2020-08-30,2020-10-01,all_category,all_channels,0,150000
144,PROMO-0027-0145,Spring Sale 2018,percentage,12.0,2018-03-18,2018-04-17,all_category,all_channels,0,100000
145,PROMO-0009-0146,Fall Launch 2014,percentage,10.0,2014-08-30,2014-10-01,all_category,all_channels,0,100000
146,PROMO-0015-0147,Urban Blowout 2015,fixed,50.0,2015-07-30,2015-09-02,Streetwear,online,0,200000
147,PROMO-0015-0148,Urban Blowout 2015,fixed,50.0,2015-07-30,2015-09-02,Streetwear,online,0,200000
148,PROMO-0026-0149,Rural Special 2017,percentage,15.0,2017-01-30,2017-03-01,Outdoor,in_store,0,0
149,PROMO-0042-0150,Mid-Year Sale 2021,percentage,18.0,2021-06-23,2021-07-22,all_category,social_media,1,0
150,PROMO-0013-0151,Fall Launch 2015,percentage,10.0,2015-08-30,2015-10-01,all_category,email,1,0
151,PROMO-0032-0152,Mid-Year Sale 2019,percentage,18.0,2019-06-23,2019-07-22,all_category,social_media,0,0
152,PROMO-0039-0153,Fall Launch 2020,percentage,10.0,2020-08-30,2020-10-01,all_category,all_channels,0,150000
153,PROMO-0049-0154,Fall Launch 2022,percentage,10.0,2022-08-31,2022-10-01,all_category,all_channels,0,0
154,PROMO-0032-0155,Mid-Year Sale 2019,percentage,18.0,2019-06-23,2019-07-22,all_category,social_media,0,0
155,PROMO-0004-0156,Year-End Sale 2013,percentage,20.0,2013-11-18,2014-01-02,all_category,all_channels,0,50000
156,PROMO-0030-0157,Year-End Sale 2018,percentage,20.0,2018-11-18,2019-01-02,all_category,all_channels,0,0
157,PROMO-0037-0158,Spring Sale 2020,percentage,12.0,2020-03-18,2020-04-17,all_category,online,0,0
158,PROMO-0023-0159,Fall Launch 2017,percentage,10.0,2017-08-30,2017-10-02,all_category,all_channels,1,0
159,PROMO-0039-0160,Fall Launch 2020,percentage,10.0,2020-08-30,2020-10-01,all_category,all_channels,0,150000
160,PROMO-0045-0161,Urban Blowout 2021,fixed,50.0,2021-07-30,2021-09-02,Streetwear,online,0,200000
161,PROMO-0015-0162,Urban Blowout 2015,fixed,50.0,2015-07-30,2015-09-02,Streetwear,online,0,200000
162,PROMO-0043-0163,Fall Launch 2021,percentage,10.0,2021-08-30,2021-10-02,all_category,email,0,0
163,PROMO-0029-0164,Fall Launch 2018,percentage,10.0,2018-08-30,2018-10-01,all_category,email,0,0
164,PROMO-0036-0165,Rural Special 2019,percentage,15.0,2019-01-30,2019-03-01,Outdoor,in_store,1,150000
165,PROMO-0013-0166,Fall Launch 2015,percentage,10.0,2015-08-30,2015-10-01,all_category,email,1,0
166,PROMO-0032-0167,Mid-Year Sale 2019,percentage,18.0,2019-06-23,2019-07-22,all_category,social_media,0,0
167,PROMO-0007-0168,Spring Sale 2014,percentage,12.0,2014-03-18,2014-04-17,all_category,email,1,0
168,PROMO-0022-0169,Mid-Year Sale 2017,percentage,18.0,2017-06-23,2017-07-22,all_category,online,0,150000
169,PROMO-0028-0170,Mid-Year Sale 2018,percentage,18.0,2018-06-23,2018-07-22,all_category,social_media,0,150000
170,PROMO-0002-0171,Mid-Year Sale 2013,percentage,18.0,2013-06-23,2013-07-22,all_category,online,0,0
171,PROMO-0042-0172,Mid-Year Sale 2021,percentage,18.0,2021-06-23,2021-07-22,all_category,social_media,1,0
172,PROMO-0045-0173,Urban Blowout 2021,fixed,50.0,2021-07-30,2021-09-02,Streetwear,online,0,200000
173,PROMO-0006-0174,Rural Special 2013,percentage,15.0,2013-01-31,2013-03-01,Outdoor,in_store,0,0
174,PROMO-0028-0175,Mid-Year Sale 2018,percentage,18.0,2018-06-23,2018-07-22,all_category,social_media,0,150000
175,PROMO-0028-0176,Mid-Year Sale 2018,percentage,18.0,2018-06-23,2018-07-22,all_category,social_media,0,150000
176,PROMO-0044-0177,Year-End Sale 2021,percentage,20.0,2021-11-18,2022-01-02,all_category,all_channels,1,0
177,PROMO-0044-0178,Year-End Sale 2021,percentage,20.0,2021-11-18,2022-01-02,all_category,all_channels,1,0
178,PROMO-0020-0179,Year-End Sale 2016,percentage,20.0,2016-11-18,2017-01-02,all_category,all_channels,0,0
179,PROMO-0030-0180,Year-End Sale 2018,percentage,20.0,2018-11-18,2019-01-02,all_category,all_channels,0,0
180,PROMO-0011-0181,Spring Sale 2015,percentage,12.0,2015-03-18,2015-04-17,all_category,all_channels,1,100000
181,PROMO-0028-0182,Mid-Year Sale 2018,percentage,18.0,2018-06-23,2018-07-22,all_category,social_media,0,150000
182,PROMO-0025-0183,Urban Blowout 2017,fixed,50.0,2017-07-30,2017-09-02,Streetwear,online,0,150000
183,PROMO-0039-0184,Fall Launch 2020,percentage,10.0,2020-08-30,2020-10-01,all_category,all_channels,0,150000
184,PROMO-0033-0185,Fall Launch 2019,percentage,10.0,2019-08-30,2019-10-01,all_category,email,0,50000
185,PROMO-0001-0186,Spring Sale 2013,percentage,12.0,2013-03-18,2013-04-17,all_category,email,1,0
186,PROMO-0027-0187,Spring Sale 2018,percentage,12.0,2018-03-18,2018-04-17,all_category,all_channels,0,100000
187,PROMO-0013-0188,Fall Launch 2015,percentage,10.0,2015-08-30,2015-10-01,all_category,email,1,0
188,PROMO-0041-0189,Spring Sale 2021,percentage,12.0,2021-03-18,2021-04-17,all_category,online,1,0
189,PROMO-0003-0190,Fall Launch 2013,percentage,10.0,2013-08-30,2013-10-02,all_category,email,0,0
190,PROMO-0039-0191,Fall Launch 2020,percentage,10.0,2020-08-30,2020-10-01,all_category,all_channels,0,150000
191,PROMO-0006-0192,Rural Special 2013,percentage,15.0,2013-01-31,2013-03-01,Outdoor,in_store,0,0
192,PROMO-0008-0193,Mid-Year Sale 2014,percentage,18.0,2014-06-23,2014-07-22,all_category,social_media,0,0
193,PROMO-0027-0194,Spring Sale 2018,percentage,12.0,2018-03-18,2018-04-17,all_category,all_channels,0,100000
194,PROMO-0009-0195,Fall Launch 2014,percentage,10.0,2014-08-30,2014-10-01,all_category,all_channels,0,100000
195,PROMO-0037-0196,Spring Sale 2020,percentage,12.0,2020-03-18,2020-04-17,all_category,online,0,0
196,PROMO-0033-0197,Fall Launch 2019,percentage,10.0,2019-08-30,2019-10-01,all_category,email,0,50000
197,PROMO-0042-0198,Mid-Year Sale 2021,percentage,18.0,2021-06-23,2021-07-22,all_category,social_media,1,0
198,PROMO-0044-0199,Year-End Sale 2021,percentage,20.0,2021-11-18,2022-01-02,all_category,all_channels,1,0
199,PROMO-0024-0200,Year-End Sale 2017,percentage,20.0,2017-11-18,2018-01-02,all_category,all_channels,0,0
200,PROMO-0015-0201,Urban Blowout 2015,fixed,50.0,2015-07-30,2015-09-02,Streetwear,online,0,200000
201,PROMO-0032-0202,Mid-Year Sale 2019,percentage,18.0,2019-06-23,2019-07-22,all_category,social_media,0,0
202,PROMO-0032-0203,Mid-Year Sale 2019,percentage,18.0,2019-06-23,2019-07-22,all_category,social_media,0,0
203,PROMO-0024-0204,Year-End Sale 2017,percentage,20.0,2017-11-18,2018-01-02,all_category,all_channels,0,0
204,PROMO-0041-0205,Spring Sale 2021,percentage,12.0,2021-03-18,2021-04-17,all_category,online,1,0
205,PROMO-0049-0206,Fall Launch 2022,percentage,10.0,2022-08-31,2022-10-01,all_category,all_channels,0,0
206,PROMO-0049-0207,Fall Launch 2022,percentage,10.0,2022-08-31,2022-10-01,all_category,all_channels,0,0
207,PROMO-0012-0208,Mid-Year Sale 2015,percentage,18.0,2015-06-23,2015-07-22,all_category,social_media,0,0
208,PROMO-0039-0209,Fall Launch 2020,percentage,10.0,2020-08-30,2020-10-01,all_category,all_channels,0,150000
209,PROMO-0002-0210,Mid-Year Sale 2013,percentage,18.0,2013-06-23,2013-07-22,all_category,online,0,0
210,PROMO-0003-0211,Fall Launch 2013,percentage,10.0,2013-08-30,2013-10-02,all_category,email,0,0
211,PROMO-0049-0212,Fall Launch 2022,percentage,10.0,2022-08-31,2022-10-01,all_category,all_channels,0,0
212,PROMO-0037-0213,Spring Sale 2020,percentage,12.0,2020-03-18,2020-04-17,all_category,online,0,0
213,PROMO-0049-0214,Fall Launch 2022,percentage,10.0,2022-08-31,2022-10-01,all_category,all_channels,0,0
214,PROMO-0017-0215,Spring Sale 2016,percentage,12.0,2016-03-18,2016-04-17,all_category,all_channels,0,0
215,PROMO-0049-0216,Fall Launch 2022,percentage,10.0,2022-08-31,2022-10-01,all_category,all_channels,0,0
216,PROMO-0002-0217,Mid-Year Sale 2013,percentage,18.0,2013-06-23,2013-07-22,all_category,online,0,0
217,PROMO-0002-0218,Mid-Year Sale 2013,percentage,18.0,2013-06-23,2013-07-22,all_category,online,0,0
218,PROMO-0028-0219,Mid-Year Sale 2018,percentage,18.0,2018-06-23,2018-07-22,all_category,social_media,0,150000
219,PROMO-0023-0220,Fall Launch 2017,percentage,10.0,2017-08-30,2017-10-02,all_category,all_channels,1,0
220,PROMO-0037-0221,Spring Sale 2020,percentage,12.0,2020-03-18,2020-04-17,all_category,online,0,0
221,PROMO-0032-0222,Mid-Year Sale 2019,percentage,18.0,2019-06-23,2019-07-22,all_category,social_media,0,0
222,PROMO-0033-0223,Fall Launch 2019,percentage,10.0,2019-08-30,2019-10-01,all_category,email,0,50000
223,PROMO-0001-0224,Spring Sale 2013,percentage,12.0,2013-03-18,2013-04-17,all_category,email,1,0
224,PROMO-0019-0225,Fall Launch 2016,percentage,10.0,2016-08-30,2016-10-01,all_category,online,0,0
225,PROMO-0002-0226,Mid-Year Sale 2013,percentage,18.0,2013-06-23,2013-07-22,all_category,online,0,0
226,PROMO-0044-0227,Year-End Sale 2021,percentage,20.0,2021-11-18,2022-01-02,all_category,all_channels,1,0
227,PROMO-0026-0228,Rural Special 2017,percentage,15.0,2017-01-30,2017-03-01,Outdoor,in_store,0,0
228,PROMO-0032-0229,Mid-Year Sale 2019,percentage,18.0,2019-06-23,2019-07-22,all_category,social_media,0,0
229,PROMO-0006-0230,Rural Special 2013,percentage,15.0,2013-01-31,2013-03-01,Outdoor,in_store,0,0
230,PROMO-0032-0231,Mid-Year Sale 2019,percentage,18.0,2019-06-23,2019-07-22,all_category,social_media,0,0
231,PROMO-0004-0232,Year-End Sale 2013,percentage,20.0,2013-11-18,2014-01-02,all_category,all_channels,0,50000
232,PROMO-0011-0233,Spring Sale 2015,percentage,12.0,2015-03-18,2015-04-17,all_category,all_channels,1,100000
233,PROMO-0017-0234,Spring Sale 2016,percentage,12.0,2016-03-18,2016-04-17,all_category,all_channels,0,0
234,PROMO-0038-0235,Mid-Year Sale 2020,percentage,18.0,2020-06-23,2020-07-22,all_category,social_media,0,0
235,PROMO-0024-0236,Year-End Sale 2017,percentage,20.0,2017-11-18,2018-01-02,all_category,all_channels,0,0
236,PROMO-0005-0237,Urban Blowout 2013,fixed,50.0,2013-07-30,2013-09-02,Streetwear,online,0,150000
237,PROMO-0034-0238,Year-End Sale 2019,percentage,20.0,2019-11-18,2020-01-02,all_category,all_channels,0,50000
238,PROMO-0006-0239,Rural Special 2013,percentage,15.0,2013-01-31,2013-03-01,Outdoor,in_store,0,0
