return_id,return_date,return_reason,return_quantity,refund_amount,orders_enrichedorder_id,productsproduct_id
RET-000194,2012-08-13,wrong_size,1,984.42,3290,2240
RET-000195,2012-08-02,defective,1,954.74,3290,2241
RET-000196,2012-08-12,defective,1,3775.1,3292,2071
RET-000197,2012-08-12,defective,2,1974.84,3297,2400
RET-000198,2012-08-02,not_as_described,2,2100.58,3311,767
RET-000199,2012-08-03,wrong_size,1,1015.15,3312,768
RET-000201,2012-08-08,late_delivery,2,24204.09,3350,826
RET-000202,2012-08-03,changed_mind,1,7045.2,3396,2331
RET-000203,2012-08-02,defective,1,6320.27,3419,2327
RET-000204,2012-08-10,wrong_size,3,11045.95,3430,573
RET-000205,2012-07-30,late_delivery,4,22110.53,3438,2343
RET-000206,2012-08-08,not_as_described,3,1891.79,3441,785
RET-000207,2012-08-03,wrong_size,3,1807.63,3441,786
RET-000209,2012-08-12,changed_mind,1,4849.52,3462,1131
RET-000210,2012-08-02,wrong_size,1,3156.88,3475,1053
RET-000211,2012-07-29,defective,4,26223.03,3506,915
RET-000212,2012-08-17,changed_mind,1,5848.22,3512,2070
RET-000213,2012-08-04,wrong_size,1,1630.72,3516,2252
RET-000214,2012-08-12,defective,4,6339.72,3516,2253
RET-000215,2012-08-05,wrong_size,1,1071.85,3529,1085
RET-000216,2012-08-05,wrong_size,4,4099.03,3529,1086
RET-000217,2012-08-10,wrong_size,1,9334.5,3547,676
RET-000218,2012-08-05,defective,5,48043.84,3562,443
RET-000219,2012-08-02,changed_mind,1,6453.8,3574,2055
RET-000220,2012-08-09,late_delivery,1,790.13,3638,757
RET-000221,2012-08-15,wrong_size,1,760.69,3638,758
RET-000222,2012-08-08,wrong_size,6,19941.69,3693,2388
RET-000223,2012-08-03,not_as_described,2,3643.22,3713,2091
RET-000225,2012-07-26,wrong_size,2,6401.39,3727,992
RET-000227,2012-07-29,defective,1,3937.75,3740,1393
RET-000228,2012-08-13,not_as_described,5,20064.34,3740,1394
RET-000229,2012-08-09,defective,3,29251.6,3763,443
RET-000230,2012-08-09,changed_mind,1,9240.15,3775,622
RET-000231,2012-08-07,defective,2,1623.82,3815,757
RET-000232,2012-08-09,defective,1,839.29,3815,758
RET-000233,2012-08-05,defective,2,8696.18,3818,910
RET-000234,2012-07-31,wrong_size,1,4203.36,3819,631
RET-000235,2012-08-05,wrong_size,2,16659.39,3824,967
RET-000236,2012-08-12,wrong_size,1,8652.52,3837,596
RET-000237,2012-08-16,late_delivery,1,5749.72,3838,915
RET-000238,2012-08-12,not_as_described,1,1595.2,3839,2204
RET-000240,2012-08-14,changed_mind,3,19009.01,3853,915
RET-000241,2012-07-28,defective,7,23025.54,3854,1916
RET-000242,2012-07-31,late_delivery,3,11871.86,3864,2012
RET-000244,2012-08-20,defective,2,2047.83,3972,2400
RET-000245,2012-08-13,defective,1,2992.97,3983,769
RET-000246,2012-08-07,wrong_size,4,5785.98,3994,1934
RET-000247,2012-07-29,defective,2,2943.13,3994,1935
RET-000248,2012-08-15,wrong_size,2,1273.45,4010,786
RET-000249,2012-08-09,wrong_size,4,2723.42,4027,785
RET-000250,2012-08-07,late_delivery,1,652.26,4027,786
RET-000251,2012-08-03,late_delivery,4,24914.74,4102,914
RET-000252,2012-08-05,wrong_size,1,1796.56,4129,981
RET-000253,2012-08-21,defective,5,48265.69,4130,635
RET-000256,2012-08-13,wrong_size,5,27012.19,4150,966
RET-000257,2012-08-19,not_as_described,1,6255.78,4151,915
RET-000258,2012-08-03,wrong_size,2,1314.65,4167,785
RET-000259,2012-07-30,wrong_size,1,3875.34,4175,964
RET-000262,2012-08-12,not_as_described,3,17808.62,4191,604
RET-000263,2012-08-18,wrong_size,1,4729.35,4247,910
RET-000264,2012-07-31,not_as_described,1,7028.77,4305,2384
RET-000265,2012-08-20,late_delivery,4,31242.43,4317,1775
RET-000270,2012-08-16,wrong_size,3,8979.19,4349,1936
RET-000271,2012-08-10,wrong_size,1,712.67,4360,2255
RET-000272,2012-08-22,wrong_size,1,3749.7,4394,2053
RET-000273,2012-08-03,wrong_size,6,80250.63,4396,819
RET-000274,2012-08-11,not_as_described,1,6165.22,4428,2064
RET-000276,2012-08-14,wrong_size,6,19911.07,4526,1936
RET-000277,2012-08-17,not_as_described,4,12888.07,4526,1937
RET-000278,2012-08-18,late_delivery,2,10038.22,4567,910
RET-000279,2012-08-17,wrong_size,1,6298.46,4575,2331
RET-000280,2012-08-03,wrong_size,1,1316.22,4587,725
RET-000281,2012-08-07,defective,5,45591.35,4589,596
RET-000283,2012-08-09,changed_mind,5,16806.67,4607,2380
RET-000285,2012-08-05,not_as_described,4,23711.11,4625,2064
RET-000286,2012-08-22,wrong_size,2,23922.3,4630,475
RET-000288,2012-08-07,wrong_size,3,2978.72,4636,768
RET-000289,2012-08-19,wrong_size,1,3834.57,4681,606
RET-000290,2012-07-31,changed_mind,6,8270.6,4699,1096
RET-000291,2012-08-21,defective,3,3677.56,4731,726
RET-000293,2012-08-10,defective,4,20556.63,4772,269
RET-000295,2012-08-16,changed_mind,4,12091.9,4817,770
RET-000296,2012-08-15,defective,1,3600.88,4826,573
RET-000297,2012-08-18,wrong_size,8,80306.94,4831,647
RET-000298,2012-08-03,wrong_size,1,11772.32,4853,475
RET-000299,2012-08-17,wrong_size,1,949.49,4860,2241
RET-000300,2012-08-07,defective,1,846.88,4871,757
RET-000301,2012-08-04,not_as_described,1,839.83,4871,758
RET-000302,2012-08-09,defective,7,7478.71,4901,2396
RET-000303,2012-08-18,defective,3,1875.1,4909,2254
RET-000304,2012-08-17,wrong_size,5,3144.43,4909,2255
RET-000305,2012-08-14,not_as_described,1,3439.82,4914,2388
RET-000306,2012-08-09,wrong_size,4,45553.76,4915,826
RET-000307,2012-08-21,defective,1,1355.0,4917,1847
RET-000308,2012-08-07,late_delivery,5,34615.29,4950,2384
RET-000309,2012-08-12,wrong_size,1,5939.48,4953,2054
RET-000310,2012-08-13,wrong_size,2,1912.35,5040,1086
RET-000311,2012-08-15,not_as_described,3,30335.27,5048,472
RET-000312,2012-08-12,defective,1,9474.09,5059,635
RET-000313,2012-08-08,wrong_size,4,2461.47,5090,1974
RET-000314,2012-08-17,changed_mind,2,1329.33,5090,1975
RET-000316,2012-08-12,wrong_size,2,17798.8,5156,400
RET-000318,2012-08-01,wrong_size,2,8920.46,5165,550
RET-000319,2012-08-13,changed_mind,1,2764.72,5168,1081
RET-000320,2012-08-03,late_delivery,3,20539.82,5168,2327
RET-000321,2012-08-18,not_as_described,6,8823.87,5202,1934
RET-000322,2012-08-18,defective,1,1378.08,5202,1935
RET-000323,2012-08-20,wrong_size,7,11791.05,5214,1963
RET-000324,2012-08-05,late_delivery,1,3077.59,5218,952
RET-000325,2012-08-09,not_as_described,2,2632.16,5241,725
RET-000326,2012-08-02,wrong_size,1,1295.94,5241,726
RET-000327,2012-08-19,wrong_size,1,1401.11,5245,1057
RET-000328,2012-08-20,changed_mind,2,3094.99,5245,1058
RET-000329,2012-08-11,not_as_described,2,9995.73,5249,966
RET-000330,2012-08-22,wrong_size,2,7907.13,5253,2053
RET-000331,2012-08-20,wrong_size,5,8216.82,5293,1962
RET-000332,2012-08-07,changed_mind,1,1714.63,5294,1963
RET-000334,2012-08-05,wrong_size,1,604.16,5316,786
RET-000335,2012-08-15,changed_mind,5,36619.19,5331,2331
RET-000336,2012-08-17,defective,4,23751.77,5335,915
RET-000337,2012-08-15,changed_mind,2,10790.76,5344,514
RET-000338,2012-08-13,defective,6,6202.16,5362,2400
RET-000339,2012-08-10,not_as_described,5,38320.09,5388,1891
RET-000340,2012-08-13,defective,3,27682.86,5396,635
RET-000341,2012-08-24,wrong_size,1,668.31,5452,785
RET-000342,2012-08-22,late_delivery,1,690.83,5452,786
RET-000343,2012-08-10,wrong_size,1,4655.42,5460,1001
RET-000344,2012-08-19,wrong_size,2,10940.52,5479,36
RET-000345,2012-08-17,changed_mind,2,2668.56,5507,1943
RET-000348,2012-08-01,changed_mind,1,652.33,5546,1974
RET-000349,2012-08-06,changed_mind,8,86776.74,5631,826
RET-000350,2012-08-15,not_as_described,7,30932.62,5634,1298
RET-000351,2012-08-13,not_as_described,5,5180.3,5637,1926
RET-000352,2012-08-14,defective,1,1074.44,5637,1927
RET-000353,2012-08-12,not_as_described,4,13988.61,5643,606
RET-000354,2012-08-14,defective,1,4702.9,5686,2046
RET-000355,2012-08-10,wrong_size,4,3474.94,5694,757
RET-000356,2012-08-17,changed_mind,4,3100.71,5694,758
RET-000357,2012-08-06,changed_mind,1,1953.68,5697,1114
RET-000358,2012-08-06,wrong_size,2,6713.7,5707,729
RET-000359,2012-08-19,changed_mind,5,5571.7,5718,767
RET-000361,2012-08-09,not_as_described,4,46022.07,5765,93
RET-000362,2012-08-23,wrong_size,1,3977.18,5786,2012
RET-000367,2012-08-19,defective,2,26821.78,5945,484
RET-000368,2012-08-11,not_as_described,7,58313.14,5974,1903
RET-000371,2012-08-24,changed_mind,2,6096.02,6032,992
RET-000372,2012-08-13,late_delivery,1,5728.8,6046,414
RET-000374,2012-08-15,wrong_size,4,7579.95,6077,981
RET-000375,2012-08-16,defective,2,8094.19,6095,733
RET-000376,2012-08-07,late_delivery,1,7990.72,6096,681
RET-000377,2012-08-24,late_delivery,2,9591.76,6097,550
RET-000378,2012-08-10,wrong_size,6,7537.48,6116,725
RET-000379,2012-08-21,wrong_size,1,1281.21,6116,726
RET-000380,2012-08-12,defective,1,3944.33,6119,733
RET-000381,2012-08-22,wrong_size,1,3707.99,6119,734
RET-000383,2012-08-17,late_delivery,3,9906.52,6154,769
RET-000384,2012-08-28,late_delivery,2,5908.7,6154,770
RET-000385,2012-08-09,wrong_size,1,1186.22,6157,725
RET-000386,2012-08-21,not_as_described,3,29252.28,6233,574
RET-000387,2012-08-10,wrong_size,4,33621.14,6236,596
RET-000388,2012-08-14,wrong_size,6,16329.95,6241,2081
RET-000389,2012-08-14,late_delivery,1,9815.21,6256,671
RET-000390,2012-08-23,not_as_described,1,601.49,6276,785
RET-000391,2012-08-16,defective,2,6489.3,6324,797
RET-000392,2012-08-23,defective,1,990.54,6350,2241
RET-000394,2012-08-18,wrong_size,1,5313.85,6374,966
RET-000395,2012-08-24,late_delivery,4,5239.97,6400,725
RET-000396,2012-08-20,wrong_size,3,2972.02,6416,2241
RET-000397,2012-08-18,not_as_described,1,1004.11,6417,2240
RET-000398,2012-08-24,wrong_size,4,47903.29,6437,475
RET-000399,2012-08-25,not_as_described,5,18959.61,6459,2053
RET-000402,2012-08-22,defective,2,20593.53,6479,671
RET-000403,2012-08-25,wrong_size,1,3243.65,6482,1425
RET-000404,2012-08-22,changed_mind,1,3489.04,6482,1426
RET-000405,2012-08-27,not_as_described,6,10689.06,6520,2280
RET-000406,2012-08-23,wrong_size,1,1124.12,6560,767
RET-000409,2012-08-23,not_as_described,2,6094.32,6616,795
RET-000410,2012-08-25,wrong_size,2,6485.78,6616,796
RET-000412,2012-08-14,changed_mind,2,12208.45,6687,2064
RET-000413,2012-08-24,defective,1,10697.75,6694,396
RET-000414,2012-08-18,defective,2,16761.48,6722,954
RET-000415,2012-08-13,defective,7,25482.28,6723,1916
RET-000416,2012-08-26,defective,2,2478.8,6751,1005
RET-000417,2012-08-16,defective,1,5527.57,6752,604
RET-000420,2012-08-18,defective,4,22412.82,6809,604
RET-000421,2012-08-24,changed_mind,3,14682.27,6811,2045
RET-000422,2012-08-17,late_delivery,2,1782.0,6825,758
RET-000423,2012-08-20,wrong_size,4,15721.97,6849,816
RET-000425,2012-08-15,wrong_size,1,5185.6,6894,514
RET-000426,2012-08-19,changed_mind,2,20913.13,6910,671
RET-000427,2012-08-21,not_as_described,1,10216.51,6933,499
RET-000428,2012-08-13,changed_mind,1,1053.82,6956,1000
RET-000431,2012-08-19,not_as_described,2,22907.04,7024,826
RET-000432,2012-08-11,not_as_described,1,5909.45,7034,2054
RET-000434,2012-08-28,changed_mind,6,70296.05,7065,826
RET-000436,2012-08-15,late_delivery,3,3262.89,7188,767
RET-000437,2012-08-21,defective,4,2638.85,7191,786
RET-000439,2012-08-16,defective,3,1979.18,7210,2254
RET-000440,2012-08-18,defective,1,12574.33,7228,502
RET-000441,2012-08-23,wrong_size,5,3144.8,7238,2254
RET-000442,2012-08-24,not_as_described,5,3304.86,7238,2255
RET-000443,2012-08-30,wrong_size,2,6222.7,7244,573
RET-000444,2012-08-21,wrong_size,1,1076.06,7302,2400
RET-000445,2012-08-12,changed_mind,8,39772.72,7320,1188
RET-000447,2012-08-20,defective,1,7082.88,7341,2054
RET-000449,2012-08-14,wrong_size,3,3149.63,7378,2400
RET-000451,2012-08-20,wrong_size,8,69213.2,7445,4
RET-000452,2012-08-23,wrong_size,1,10026.26,7503,575
RET-000454,2012-08-23,not_as_described,8,5137.74,7622,785
RET-000455,2012-08-24,wrong_size,2,1410.07,7622,786
RET-000456,2012-08-30,late_delivery,1,3385.61,7622,797
RET-000457,2012-08-21,late_delivery,2,3940.39,7647,862
RET-000458,2012-08-12,changed_mind,6,14995.37,7651,2081
RET-000459,2012-08-29,defective,2,22660.13,7663,826
RET-000460,2012-08-24,defective,3,3176.57,7671,1000
RET-000461,2012-08-14,late_delivery,3,7650.42,7679,2081
RET-000463,2012-08-18,defective,2,12098.75,7714,2064
RET-000464,2012-08-15,defective,3,13922.09,7742,1001
RET-000465,2012-08-26,changed_mind,2,21377.61,7755,396
RET-000466,2012-08-25,late_delivery,2,6854.48,7755,964
RET-000467,2012-08-27,not_as_described,7,21703.34,7780,992
RET-000469,2012-08-19,wrong_size,3,18081.52,7846,2050
RET-000470,2012-08-19,not_as_described,8,51115.53,7846,2153
RET-000473,2012-08-17,defective,4,6117.87,7900,1963
RET-000474,2012-08-13,defective,4,21331.94,7912,2070
RET-000476,2012-08-29,late_delivery,2,13002.96,7927,895
RET-000477,2012-08-16,changed_mind,4,14964.24,7931,964
RET-000479,2012-08-22,defective,1,1095.65,7941,1000
RET-000480,2012-08-16,wrong_size,1,11978.6,7947,826
RET-000481,2012-08-10,wrong_size,3,10957.05,7969,2380
RET-000482,2012-08-20,changed_mind,5,39837.39,7980,681
RET-000483,2012-08-20,not_as_described,6,6567.81,7980,2400
RET-000484,2012-08-16,defective,3,37851.82,7990,826
RET-000485,2012-08-28,wrong_size,7,31034.22,8019,2354
RET-000486,2012-08-21,changed_mind,2,16112.97,8027,954
RET-000487,2012-08-21,wrong_size,2,10258.06,8051,2045
RET-000488,2012-08-27,changed_mind,4,14504.51,8055,1203
RET-000489,2012-08-18,wrong_size,1,3746.29,8067,1203
RET-000490,2012-08-19,defective,1,4597.74,8073,990
RET-000491,2012-08-28,changed_mind,2,19975.82,8083,331
RET-000493,2012-08-22,defective,6,6869.2,8109,768
RET-000494,2012-08-24,defective,1,1035.21,8122,767
RET-000495,2012-08-13,defective,3,3094.0,8122,768
RET-000497,2012-08-26,wrong_size,3,10151.33,8152,964
RET-000499,2012-08-25,changed_mind,1,1496.51,8177,1934
RET-000500,2012-08-25,wrong_size,1,1415.21,8237,1934
RET-000501,2012-08-20,wrong_size,1,1422.12,8237,1935
RET-000504,2012-08-24,defective,1,3270.73,8328,2277
RET-000506,2012-08-11,late_delivery,2,1541.3,8358,757
RET-000507,2012-08-23,wrong_size,1,11760.54,8418,472
RET-000508,2012-08-10,wrong_size,2,19549.98,8426,499
RET-000509,2012-08-18,defective,1,4670.56,8431,691
RET-000510,2012-08-31,not_as_described,1,5430.35,8434,2050
RET-000511,2012-08-25,defective,4,49797.26,8478,502
RET-000512,2012-08-19,not_as_described,2,5703.46,8485,1490
RET-000513,2012-08-11,defective,3,6336.06,8521,1182
RET-000514,2012-08-17,wrong_size,2,17844.3,8522,481
RET-000515,2012-08-19,defective,3,9722.49,8523,573
RET-000516,2012-08-25,late_delivery,3,23204.04,8529,645
RET-000519,2012-08-24,changed_mind,1,1642.89,8541,1859
RET-000520,2012-08-27,defective,6,10963.52,8571,1182
RET-000521,2012-08-31,defective,2,8077.15,8626,631
RET-000522,2012-08-22,not_as_described,6,50627.12,8628,437
RET-000524,2012-08-23,not_as_described,2,3046.52,8676,1847
RET-000525,2012-08-11,wrong_size,4,43794.76,8681,467
RET-000527,2012-08-15,changed_mind,1,4251.78,8705,2352
RET-000530,2012-08-18,changed_mind,2,16378.62,8737,31
RET-000531,2012-08-15,wrong_size,1,3300.89,8739,2269
RET-000533,2012-08-29,changed_mind,5,48543.64,8801,671
RET-000534,2012-08-23,not_as_described,3,2150.89,8844,2254
RET-000535,2012-08-30,changed_mind,3,1894.79,8844,2255
RET-000536,2012-09-05,changed_mind,2,2803.24,8875,2251
RET-000537,2012-08-29,late_delivery,1,1090.97,8880,1046
RET-000538,2012-08-28,not_as_described,1,6616.25,8887,2374
RET-000540,2012-09-01,not_as_described,4,42655.54,8933,445
RET-000541,2012-08-22,changed_mind,1,5262.06,8954,2359
RET-000542,2012-08-27,changed_mind,2,6989.26,8961,2269
RET-000543,2012-08-25,wrong_size,4,15529.84,9009,2053
RET-000544,2012-08-27,wrong_size,1,4962.22,9012,989
RET-000545,2012-08-12,defective,5,49945.74,9016,467
RET-000546,2012-09-04,not_as_described,2,6084.44,9018,992
RET-000547,2012-08-31,defective,1,1899.74,9026,981
RET-000548,2012-08-27,wrong_size,1,5725.97,9068,1173
RET-000551,2012-08-31,wrong_size,2,2265.84,9082,725
RET-000553,2012-08-26,defective,4,5304.64,9113,725
RET-000554,2012-08-31,wrong_size,7,8608.31,9113,726
RET-000555,2012-08-29,defective,2,2235.39,9129,2396
RET-000556,2012-08-26,changed_mind,2,2762.54,9141,1847
RET-000557,2012-08-27,changed_mind,1,3375.84,9171,964
RET-000558,2012-08-26,defective,1,2977.18,9186,2277
RET-000559,2012-09-01,defective,4,46123.59,9201,826
RET-000562,2012-08-20,changed_mind,3,4647.15,9262,2253
RET-000564,2012-08-30,wrong_size,2,15634.53,9283,940
RET-000565,2012-08-18,changed_mind,2,4730.27,9287,2199
RET-000566,2012-08-25,defective,1,1867.27,9351,739
RET-000567,2012-09-06,defective,3,5725.91,9351,740
RET-000568,2012-08-18,defective,1,10882.16,9354,638
RET-000569,2012-08-20,late_delivery,3,17302.41,9374,1213
RET-000570,2012-09-03,wrong_size,2,3500.15,9386,2204
RET-000571,2012-08-20,wrong_size,2,3103.29,9387,2205
RET-000572,2012-08-24,not_as_described,1,6264.16,9389,2371
RET-000573,2012-08-26,late_delivery,4,21728.1,9393,1188
RET-000574,2012-08-21,defective,2,1227.23,9409,2254
RET-000575,2012-08-23,not_as_described,8,74849.94,9440,676
RET-000576,2012-08-25,late_delivery,1,786.93,9447,758
RET-000577,2012-08-30,wrong_size,3,11727.9,9451,2269
RET-000578,2012-08-26,changed_mind,2,2056.98,9463,2241
RET-000579,2012-09-05,wrong_size,5,60058.7,9471,826
RET-000580,2012-08-31,not_as_described,1,1505.47,9472,2250
RET-000581,2012-08-24,changed_mind,6,8275.13,9472,2251
RET-000583,2012-08-26,changed_mind,5,55186.39,9551,475
