snapshot_date,product_id,stock_on_hand,units_received,units_sold,stockout_days,days_of_supply,fill_rate,stockout_flag,overstock_flag,reorder_flag,sell_through_rate,productsproduct_id
2012-09-30,4,25,7,6,2,125.0,0.9333,1,1,0,0.1935,4
2012-10-31,4,26,7,6,1,130.0,0.9667,1,1,0,0.1875,4
2012-11-30,4,27,7,6,0,135.0,1.0,0,1,0,0.1818,4
2012-12-31,4,28,5,4,0,210.0,1.0,0,1,0,0.125,4
2013-01-31,4,30,11,9,1,100.0,0.9667,1,1,0,0.2308,4
2013-02-28,4,32,14,12,1,80.0,0.9667,1,0,0,0.2727,4
2013-03-31,4,32,1,1,0,960.0,1.0,0,1,0,0.0303,4
2013-04-30,4,33,10,9,0,110.0,1.0,0,1,0,0.2143,4
2013-05-31,4,33,4,4,2,247.5,0.9333,1,1,0,0.1081,4
2013-06-30,4,34,10,9,1,113.3,0.9667,1,1,0,0.2093,4
2013-07-31,4,35,11,10,1,105.0,0.9667,1,1,0,0.2222,4
2013-08-31,4,36,14,13,0,83.1,1.0,0,0,0,0.2653,4
2013-09-30,4,37,8,7,2,158.6,0.9333,1,1,0,0.1591,4
2013-10-31,4,38,14,13,0,87.7,1.0,0,0,0,0.2549,4
2013-11-30,4,38,4,4,2,285.0,0.9333,1,1,0,0.0952,4
2013-12-31,4,39,8,7,1,167.1,0.9667,1,1,0,0.1522,4
2014-01-31,4,40,9,8,2,150.0,0.9333,1,1,0,0.1667,4
2014-02-28,4,40,2,2,2,600.0,0.9333,1,1,0,0.0476,4
2014-03-31,4,40,3,3,0,400.0,1.0,0,1,0,0.0698,4
2014-04-30,4,40,3,3,1,400.0,0.9667,1,1,0,0.0698,4
2014-05-31,4,40,2,2,0,600.0,1.0,0,1,0,0.0476,4
2014-06-30,4,41,9,8,1,153.8,0.9667,1,1,0,0.1633,4
2014-07-31,4,42,5,4,2,315.0,0.9333,1,1,0,0.087,4
2014-08-31,4,43,7,6,2,215.0,0.9333,1,1,0,0.1224,4
2014-09-30,4,43,3,3,1,430.0,0.9667,1,1,0,0.0652,4
2014-11-30,4,43,1,1,2,1290.0,0.9333,1,1,0,0.0227,4
2014-12-31,4,43,1,1,1,1290.0,0.9667,1,1,0,0.0227,4
2015-03-31,4,43,2,2,2,645.0,0.9333,1,1,0,0.0444,4
2015-04-30,4,43,3,3,0,430.0,1.0,0,1,0,0.0652,4
2015-06-30,4,43,2,2,0,645.0,1.0,0,1,0,0.0444,4
2015-09-30,4,43,2,2,2,645.0,0.9333,1,1,0,0.0444,4
2015-10-31,4,44,7,6,1,220.0,0.9667,1,1,0,0.12,4
2015-11-30,4,44,1,1,2,1320.0,0.9333,1,1,0,0.0222,4
2015-12-31,4,44,1,1,1,1320.0,0.9667,1,1,0,0.0222,4
2016-02-29,4,44,2,2,1,660.0,0.9667,1,1,0,0.0435,4
2016-03-31,4,44,1,1,0,1320.0,1.0,0,1,0,0.0222,4
2016-04-30,4,44,3,3,0,440.0,1.0,0,1,0,0.0638,4
2016-07-31,4,44,1,1,0,1320.0,1.0,0,1,0,0.0222,4
2013-02-28,5,3,1,1,1,90.0,0.9667,1,0,0,0.25,5
2013-03-31,5,3,1,1,2,90.0,0.9333,1,0,0,0.25,5
2019-02-28,7,3,1,1,0,90.0,1.0,0,0,0,0.25,7
2019-03-31,7,3,3,3,2,30.0,0.9333,1,0,0,0.5,7
2019-04-30,7,3,4,4,1,22.5,0.9667,1,0,0,0.5714,7
2019-05-31,7,3,3,3,1,30.0,0.9667,1,0,0,0.5,7
2019-07-31,7,3,3,3,0,30.0,1.0,0,0,0,0.5,7
2019-09-30,7,3,1,1,0,90.0,1.0,0,0,0,0.25,7
2019-11-30,7,3,1,1,0,90.0,1.0,0,0,0,0.25,7
2020-01-31,7,3,1,1,2,90.0,0.9333,1,0,0,0.25,7
2020-02-29,7,3,1,1,1,90.0,0.9667,1,0,0,0.25,7
2020-03-31,7,3,2,2,0,45.0,1.0,0,0,0,0.4,7
2020-04-30,7,3,3,3,1,30.0,0.9667,1,0,0,0.5,7
2020-07-31,7,3,1,1,1,90.0,0.9667,1,0,0,0.25,7
2020-09-30,7,3,3,3,2,30.0,0.9333,1,0,0,0.5,7
2020-10-31,7,3,1,1,1,90.0,0.9667,1,0,0,0.25,7
2020-11-30,7,3,1,1,1,90.0,0.9667,1,0,0,0.25,7
2021-01-31,7,3,2,2,0,45.0,1.0,0,0,0,0.4,7
2021-02-28,7,3,2,2,0,45.0,1.0,0,0,0,0.4,7
2021-09-30,7,3,2,2,2,45.0,0.9333,1,0,0,0.4,7
2021-10-31,7,3,1,1,2,90.0,0.9333,1,0,0,0.25,7
2014-05-31,8,19,7,6,1,95.0,0.9667,1,1,0,0.24,8
2014-06-30,8,19,7,7,1,81.4,0.9667,1,0,0,0.2692,8
2014-07-31,8,21,10,8,2,78.8,0.9333,1,0,0,0.2759,8
2014-08-31,8,22,7,6,1,110.0,0.9667,1,1,0,0.2143,8
2014-09-30,8,22,8,8,2,82.5,0.9333,1,0,0,0.2667,8
2014-10-31,8,22,7,7,0,94.3,1.0,0,1,0,0.2414,8
2014-11-30,8,23,5,4,0,172.5,1.0,0,1,0,0.1481,8
2014-12-31,8,24,7,6,2,120.0,0.9333,1,1,0,0.2,8
2015-01-31,8,24,2,2,0,360.0,1.0,0,1,0,0.0769,8
2015-02-28,8,24,4,4,1,180.0,0.9667,1,1,0,0.1429,8
2015-03-31,8,24,3,3,1,240.0,0.9667,1,1,0,0.1111,8
2015-04-30,8,26,11,9,1,86.7,0.9667,1,0,0,0.2571,8
2015-05-31,8,28,10,8,2,105.0,0.9333,1,1,0,0.2222,8
2015-06-30,8,29,6,5,2,174.0,0.9333,1,1,0,0.1471,8
2015-07-31,8,29,2,2,1,435.0,0.9667,1,1,0,0.0645,8
2015-08-31,8,29,3,3,1,290.0,0.9667,1,1,0,0.0938,8
2015-09-30,8,29,3,3,1,290.0,0.9667,1,1,0,0.0938,8
2015-10-31,8,29,1,1,2,870.0,0.9333,1,1,0,0.0333,8
2015-11-30,8,30,8,7,1,128.6,0.9667,1,1,0,0.1892,8
2015-12-31,8,30,7,7,2,128.6,0.9333,1,1,0,0.1892,8
2016-01-31,8,30,3,3,1,300.0,0.9667,1,1,0,0.0909,8
2016-02-29,8,30,4,4,0,225.0,1.0,0,1,0,0.1176,8
2016-03-31,8,33,19,16,1,61.9,0.9667,1,0,0,0.3265,8
2016-04-30,8,40,33,26,0,46.2,1.0,0,0,0,0.3939,8
2016-05-31,8,42,16,14,0,90.0,1.0,0,0,0,0.25,8
2016-06-30,8,45,22,19,2,71.1,0.9333,1,0,0,0.2969,8
2016-07-31,8,47,22,20,2,70.5,0.9333,1,0,0,0.2985,8
2016-08-31,8,48,9,8,0,180.0,1.0,0,1,0,0.1429,8
2016-09-30,8,49,9,8,0,183.8,1.0,0,1,0,0.1404,8
2016-10-31,8,50,9,8,0,187.5,1.0,0,1,0,0.1379,8
2016-11-30,8,51,10,9,1,170.0,0.9667,1,1,0,0.15,8
2016-12-31,8,52,7,6,2,260.0,0.9333,1,1,0,0.1034,8
2017-01-31,8,52,6,6,0,260.0,1.0,0,1,0,0.1034,8
2017-02-28,8,52,4,4,1,390.0,0.9667,1,1,0,0.0714,8
2017-03-31,8,52,8,8,2,195.0,0.9333,1,1,0,0.1333,8
2017-04-30,8,57,26,21,2,81.4,0.9333,1,0,0,0.2692,8
2017-05-31,8,63,31,25,2,75.6,0.9333,1,0,0,0.2841,8
2017-06-30,8,68,29,24,1,85.0,0.9667,1,0,0,0.2609,8
2017-07-31,8,68,3,3,0,680.0,1.0,0,1,0,0.0423,8
2017-08-31,8,69,7,6,0,345.0,1.0,0,1,0,0.08,8
2017-09-30,8,69,2,2,2,1035.0,0.9333,1,1,0,0.0282,8
2017-10-31,8,70,9,8,0,262.5,1.0,0,1,0,0.1026,8
2017-11-30,8,70,5,5,0,420.0,1.0,0,1,0,0.0667,8
2017-12-31,8,70,5,5,1,420.0,0.9667,1,1,0,0.0667,8
2018-01-31,8,70,2,2,0,1050.0,1.0,0,1,0,0.0278,8
2018-04-30,8,70,1,1,0,2100.0,1.0,0,1,0,0.0141,8
2018-05-31,8,70,1,1,1,2100.0,0.9667,1,1,0,0.0141,8
2018-07-31,8,70,1,1,2,2100.0,0.9333,1,1,0,0.0141,8
2018-08-31,8,70,7,7,0,300.0,1.0,0,1,0,0.0909,8
2018-09-30,8,73,19,16,2,136.9,0.9333,1,1,0,0.1798,8
2018-10-31,8,74,11,10,2,222.0,0.9333,1,1,0,0.119,8
2018-11-30,8,74,7,7,2,317.1,0.9333,1,1,0,0.0864,8
2018-12-31,8,74,5,5,2,444.0,0.9333,1,1,0,0.0633,8
2019-01-31,8,74,4,4,0,555.0,1.0,0,1,0,0.0513,8
2019-02-28,8,74,4,4,1,555.0,0.9667,1,1,0,0.0513,8
2019-03-31,8,75,7,6,2,375.0,0.9333,1,1,0,0.0741,8
2019-04-30,8,78,14,11,1,212.7,0.9667,1,1,0,0.1236,8
2019-05-31,8,79,11,10,2,237.0,0.9333,1,1,0,0.1124,8
2019-06-30,8,80,12,11,0,218.2,1.0,0,1,0,0.1209,8
2019-07-31,8,81,10,9,0,270.0,1.0,0,1,0,0.1,8
2019-08-31,8,82,6,5,0,492.0,1.0,0,1,0,0.0575,8
2019-09-30,8,84,13,11,2,229.1,0.9333,1,1,0,0.1158,8
2019-10-31,8,85,9,8,1,318.8,0.9667,1,1,0,0.086,8
2019-11-30,8,85,3,3,1,850.0,0.9667,1,1,0,0.0341,8
2019-12-31,8,85,1,1,0,2550.0,1.0,0,1,0,0.0116,8
2020-01-31,8,85,3,3,2,850.0,0.9333,1,1,0,0.0341,8
2020-02-29,8,85,2,2,0,1275.0,1.0,0,1,0,0.023,8
2020-03-31,8,85,5,5,2,510.0,0.9333,1,1,0,0.0556,8
2020-04-30,8,86,12,11,1,234.5,0.9667,1,1,0,0.1134,8
2020-05-31,8,87,13,12,2,217.5,0.9333,1,1,0,0.1212,8
2020-06-30,8,88,7,6,1,440.0,0.9667,1,1,0,0.0638,8
2020-07-31,8,88,5,5,2,528.0,0.9333,1,1,0,0.0538,8
2020-08-31,8,90,10,8,2,337.5,0.9333,1,1,0,0.0816,8
2020-09-30,8,90,4,4,1,675.0,0.9667,1,1,0,0.0426,8
2020-10-31,8,90,5,5,0,540.0,1.0,0,1,0,0.0526,8
2020-11-30,8,90,2,2,0,1350.0,1.0,0,1,0,0.0217,8
2020-12-31,8,90,2,2,0,1350.0,1.0,0,1,0,0.0217,8
2021-01-31,8,90,3,3,2,900.0,0.9333,1,1,0,0.0323,8
2021-02-28,8,91,6,5,0,546.0,1.0,0,1,0,0.0521,8
2021-03-31,8,92,6,5,2,552.0,0.9333,1,1,0,0.0515,8
2021-04-30,8,93,10,9,0,310.0,1.0,0,1,0,0.0882,8
2021-05-31,8,95,9,7,2,407.1,0.9333,1,1,0,0.0686,8
2021-06-30,8,95,2,2,0,1425.0,1.0,0,1,0,0.0206,8
2021-07-31,8,95,4,4,2,712.5,0.9333,1,1,0,0.0404,8
2021-08-31,8,95,8,8,2,356.2,0.9333,1,1,0,0.0777,8
2021-10-31,8,95,4,4,2,712.5,0.9333,1,1,0,0.0404,8
2021-11-30,8,95,3,3,2,950.0,0.9333,1,1,0,0.0306,8
2021-12-31,8,95,3,3,2,950.0,0.9333,1,1,0,0.0306,8
2022-01-31,8,95,3,3,0,950.0,1.0,0,1,0,0.0306,8
2022-02-28,8,95,4,4,0,712.5,1.0,0,1,0,0.0404,8
2022-03-31,8,96,8,7,1,411.4,0.9667,1,1,0,0.068,8
2022-04-30,8,98,9,7,1,420.0,0.9667,1,1,0,0.0667,8
2022-05-31,8,99,11,10,1,297.0,0.9667,1,1,0,0.0917,8
2022-06-30,8,101,12,10,2,303.0,0.9333,1,1,0,0.0901,8
2022-07-31,8,101,5,5,0,606.0,1.0,0,1,0,0.0472,8
2022-08-31,8,101,5,5,2,606.0,0.9333,1,1,0,0.0472,8
2022-09-30,8,101,2,2,1,1515.0,0.9667,1,1,0,0.0194,8
2022-11-30,8,101,1,1,2,3030.0,0.9333,1,1,0,0.0098,8
2022-12-31,8,101,1,1,2,3030.0,0.9333,1,1,0,0.0098,8
2018-08-31,9,19,7,6,1,95.0,0.9667,1,1,0,0.24,9
2018-09-30,9,21,21,19,1,33.2,0.9667,1,0,0,0.475,9
2018-10-31,9,26,29,24,3,32.5,0.9,1,0,0,0.48,9
2018-11-30,9,27,6,5,1,162.0,0.9667,1,1,0,0.1562,9
2018-12-31,9,27,6,6,2,135.0,0.9333,1,1,0,0.1818,9
2019-01-31,9,29,11,9,0,96.7,1.0,0,1,0,0.2368,9
2019-02-28,9,31,10,8,2,116.2,0.9333,1,1,0,0.2051,9
2019-03-31,9,32,12,11,1,87.3,0.9667,1,0,0,0.2558,9
2019-04-30,9,35,16,13,1,80.8,0.9667,1,0,0,0.2708,9
2019-05-31,9,36,13,12,0,90.0,1.0,0,0,0,0.25,9
2019-06-30,9,39,16,13,2,90.0,0.9333,1,0,0,0.25,9
2019-07-31,9,42,19,16,0,78.8,1.0,0,0,0,0.2759,9
2019-08-31,9,43,7,6,0,215.0,1.0,0,1,0,0.1224,9
2019-09-30,9,49,28,22,0,66.8,1.0,0,0,0,0.3099,9
2019-10-31,9,50,9,8,0,187.5,1.0,0,1,0,0.1379,9
2019-11-30,9,51,7,6,2,255.0,0.9333,1,1,0,0.1053,9
2019-12-31,9,51,4,4,2,382.5,0.9333,1,1,0,0.0727,9
2020-01-31,9,51,2,2,1,765.0,0.9667,1,1,0,0.0377,9
2020-02-29,9,51,4,4,0,382.5,1.0,0,1,0,0.0727,9
2020-03-31,9,51,3,3,1,510.0,0.9667,1,1,0,0.0556,9
2020-04-30,9,53,13,11,0,144.5,1.0,0,1,0,0.1719,9
2020-05-31,9,55,15,13,0,126.9,1.0,0,1,0,0.1912,9
2020-06-30,9,55,3,3,0,550.0,1.0,0,1,0,0.0517,9
2020-07-31,9,56,14,13,1,129.2,0.9667,1,1,0,0.1884,9
2020-08-31,9,57,9,8,1,213.8,0.9667,1,1,0,0.1231,9
2020-09-30,9,57,6,6,1,285.0,0.9667,1,1,0,0.0952,9
2020-10-31,9,58,6,5,0,348.0,1.0,0,1,0,0.0794,9
2020-11-30,9,58,6,6,0,290.0,1.0,0,1,0,0.0938,9
2020-12-31,9,58,3,3,1,580.0,0.9667,1,1,0,0.0492,9
2021-01-31,9,58,6,6,0,290.0,1.0,0,1,0,0.0938,9
2021-02-28,9,60,11,9,1,200.0,0.9667,1,1,0,0.1304,9
2021-03-31,9,62,13,11,0,169.1,1.0,0,1,0,0.1507,9
2021-04-30,9,65,17,14,1,139.3,0.9667,1,1,0,0.1772,9
2021-05-31,9,66,13,12,0,165.0,1.0,0,1,0,0.1538,9
2021-06-30,9,67,12,11,0,182.7,1.0,0,1,0,0.141,9
2021-07-31,9,67,1,1,2,2010.0,0.9333,1,1,0,0.0147,9
2021-08-31,9,69,10,8,1,258.8,0.9667,1,1,0,0.1039,9
2021-09-30,9,69,3,3,2,690.0,0.9333,1,1,0,0.0417,9
2021-10-31,9,69,5,5,0,414.0,1.0,0,1,0,0.0676,9
2021-11-30,9,69,4,4,2,517.5,0.9333,1,1,0,0.0548,9
2021-12-31,9,69,4,4,2,517.5,0.9333,1,1,0,0.0548,9
2022-01-31,9,70,6,5,1,420.0,0.9667,1,1,0,0.0667,9
2022-02-28,9,72,9,7,1,308.6,0.9667,1,1,0,0.0886,9
2022-03-31,9,73,9,8,0,273.8,1.0,0,1,0,0.0988,9
2022-04-30,9,75,13,11,2,204.5,0.9333,1,1,0,0.1279,9
2022-05-31,9,76,13,12,0,190.0,1.0,0,1,0,0.1364,9
2022-06-30,9,79,17,14,2,169.3,0.9333,1,1,0,0.1505,9
2022-07-31,9,79,3,3,2,790.0,0.9333,1,1,0,0.0366,9
2022-08-31,9,81,10,8,0,303.8,1.0,0,1,0,0.0899,9
2022-09-30,9,82,9,8,0,307.5,1.0,0,1,0,0.0889,9
2022-10-31,9,82,4,4,2,615.0,0.9333,1,1,0,0.0465,9
2022-11-30,9,82,5,5,0,492.0,1.0,0,1,0,0.0575,9
2022-12-31,9,83,7,6,1,415.0,0.9667,1,1,0,0.0674,9
2012-10-31,10,3,1,1,0,90.0,1.0,0,0,0,0.25,10
2013-01-31,10,3,2,2,0,45.0,1.0,0,0,0,0.4,10
2013-02-28,10,4,7,6,3,20.0,0.9,1,0,0,0.6,10
2013-03-31,10,4,5,5,1,24.0,0.9667,1,0,0,0.5556,10
2013-04-30,10,4,3,3,1,40.0,0.9667,1,0,0,0.4286,10
2013-05-31,10,4,2,2,2,60.0,0.9333,1,0,0,0.3333,10
2013-06-30,10,4,1,1,2,120.0,0.9333,1,1,0,0.2,10
2013-10-31,10,4,1,1,2,120.0,0.9333,1,1,0,0.2,10
2014-01-31,11,3,1,1,2,90.0,0.9333,1,0,0,0.25,11
2019-02-28,12,3,1,1,2,90.0,0.9333,1,0,0,0.25,12
2019-03-31,12,3,2,2,0,45.0,1.0,0,0,0,0.4,12
2019-04-30,12,3,2,2,0,45.0,1.0,0,0,0,0.4,12
2019-05-31,12,3,1,1,2,90.0,0.9333,1,0,0,0.25,12
2019-07-31,12,3,2,2,1,45.0,0.9667,1,0,0,0.4,12
2019-09-30,12,3,1,1,2,90.0,0.9333,1,0,0,0.25,12
2019-10-31,12,3,1,1,1,90.0,0.9667,1,0,0,0.25,12
2019-11-30,12,3,1,1,0,90.0,1.0,0,0,0,0.25,12
2020-01-31,12,3,1,1,0,90.0,1.0,0,0,0,0.25,12
2020-12-31,12,3,1,1,1,90.0,0.9667,1,0,0,0.25,12
2021-02-28,12,3,1,1,2,90.0,0.9333,1,0,0,0.25,12
2021-04-30,12,3,1,1,2,90.0,0.9333,1,0,0,0.25,12
2021-05-31,12,3,1,1,2,90.0,0.9333,1,0,0,0.25,12
2021-06-30,12,3,1,1,1,90.0,0.9667,1,0,0,0.25,12
2021-08-31,12,3,1,1,2,90.0,0.9333,1,0,0,0.25,12
2021-09-30,12,3,4,4,1,22.5,0.9667,1,0,0,0.5714,12
2022-08-31,12,3,1,1,1,90.0,0.9667,1,0,0,0.25,12
2019-02-28,13,3,1,1,1,90.0,0.9667,1,0,0,0.25,13
2019-03-31,13,3,1,1,2,90.0,0.9333,1,0,0,0.25,13
2019-04-30,13,4,7,6,3,20.0,0.9,1,0,0,0.6,13
2019-05-31,13,4,3,3,0,40.0,1.0,0,0,0,0.4286,13
2019-06-30,13,4,2,2,2,60.0,0.9333,1,0,0,0.3333,13
2019-07-31,13,4,2,2,1,60.0,0.9667,1,0,0,0.3333,13
2019-08-31,13,4,1,1,2,120.0,0.9333,1,1,0,0.2,13
2019-10-31,13,4,2,2,2,60.0,0.9333,1,0,0,0.3333,13
2019-12-31,13,4,3,3,2,40.0,0.9333,1,0,0,0.4286,13
2020-02-29,13,4,3,3,0,40.0,1.0,0,0,0,0.4286,13
2020-03-31,13,4,1,1,0,120.0,1.0,0,1,0,0.2,13
2020-04-30,13,4,2,2,2,60.0,0.9333,1,0,0,0.3333,13
2020-05-31,13,4,3,3,1,40.0,0.9667,1,0,0,0.4286,13
2020-06-30,13,4,3,3,1,40.0,0.9667,1,0,0,0.4286,13
2020-07-31,13,4,1,1,1,120.0,0.9667,1,1,0,0.2,13
2020-08-31,13,4,1,1,1,120.0,0.9667,1,1,0,0.2,13
2020-11-30,13,4,2,2,0,60.0,1.0,0,0,0,0.3333,13
2020-12-31,13,4,2,2,1,60.0,0.9667,1,0,0,0.3333,13
2021-02-28,13,4,1,1,2,120.0,0.9333,1,1,0,0.2,13
2021-04-30,13,4,1,1,1,120.0,0.9667,1,1,0,0.2,13
2021-05-31,13,4,2,2,2,60.0,0.9333,1,0,0,0.3333,13
2021-07-31,13,4,1,1,0,120.0,1.0,0,1,0,0.2,13
2021-08-31,13,4,1,1,2,120.0,0.9333,1,1,0,0.2,13
2021-09-30,13,4,1,1,2,120.0,0.9333,1,1,0,0.2,13
2021-12-31,13,5,9,8,4,18.8,0.8667,1,0,0,0.6154,13
2022-03-31,13,5,3,3,1,50.0,0.9667,1,0,0,0.375,13
2022-04-30,13,5,2,2,2,75.0,0.9333,1,0,0,0.2857,13
2022-08-31,13,5,1,1,0,150.0,1.0,0,1,0,0.1667,13
2022-09-30,13,5,1,1,1,150.0,0.9667,1,1,0,0.1667,13
2022-10-31,13,5,1,1,1,150.0,0.9667,1,1,0,0.1667,13
2022-11-30,13,5,1,1,1,150.0,0.9667,1,1,0,0.1667,13
2019-01-31,14,3,1,1,0,90.0,1.0,0,0,0,0.25,14
2019-03-31,14,3,3,3,2,30.0,0.9333,1,0,0,0.5,14
2019-04-30,14,3,2,2,0,45.0,1.0,0,0,0,0.4,14
2019-05-31,14,3,1,1,0,90.0,1.0,0,0,0,0.25,14
2019-06-30,14,3,1,1,2,90.0,0.9333,1,0,0,0.25,14
