customer_id,signup_date,gender,age_group,acquisition_channel,locationszip
173,2020-08-06,Female,18-24,paid_search,15237
176,2017-06-17,Female,35-44,direct,15238
177,2015-11-25,Female,25-34,organic_search,15238
178,2020-03-17,Male,25-34,organic_search,15238
179,2020-02-20,Female,35-44,social_media,15238
180,2020-07-18,Male,45-54,email_campaign,15238
181,2022-09-03,Male,45-54,social_media,15239
182,2022-04-04,Male,35-44,paid_search,15239
184,2015-12-06,Female,35-44,paid_search,15239
185,2019-12-08,Female,35-44,organic_search,15239
186,2019-04-15,Female,45-54,paid_search,15240
188,2018-03-28,Male,25-34,paid_search,15240
189,2017-06-16,Female,35-44,organic_search,15240
190,2020-05-17,Female,45-54,referral,15240
191,2020-02-14,Male,35-44,direct,15241
192,2018-08-08,Female,18-24,organic_search,15241
193,2018-04-03,Male,55+,social_media,15241
195,2020-04-28,Female,25-34,email_campaign,15241
197,2021-04-10,Male,45-54,social_media,15243
198,2014-10-27,Female,45-54,paid_search,15243
204,2017-02-07,Male,35-44,social_media,15275
205,2020-09-17,Male,45-54,email_campaign,15275
206,2017-10-14,Female,55+,paid_search,15276
207,2019-12-02,Non-binary,35-44,social_media,15276
208,2015-01-14,Male,45-54,paid_search,15276
209,2019-09-13,Male,18-24,social_media,15276
211,2018-06-11,Male,45-54,organic_search,15277
213,2020-06-07,Female,25-34,paid_search,15277
214,2020-02-18,Female,35-44,paid_search,15277
217,2021-04-27,Male,25-34,organic_search,15295
218,2022-08-06,Male,35-44,email_campaign,15295
219,2016-12-04,Female,35-44,paid_search,15295
220,2018-10-24,Female,35-44,direct,15295
222,2021-07-07,Male,35-44,organic_search,15937
223,2021-03-16,Male,45-54,organic_search,15937
224,2022-10-23,Female,25-34,social_media,15937
225,2014-12-31,Female,35-44,paid_search,15937
226,2021-07-22,Male,18-24,paid_search,15938
227,2020-11-12,Female,55+,referral,15938
229,2016-12-19,Male,55+,social_media,15938
231,2015-07-19,Male,45-54,social_media,15940
232,2017-05-24,Male,55+,organic_search,15940
233,2021-08-23,Male,18-24,email_campaign,15940
234,2022-04-10,Female,25-34,referral,15940
235,2018-01-25,Male,55+,email_campaign,15940
236,2016-05-02,Female,18-24,direct,15942
238,2018-03-17,Male,45-54,organic_search,15942
239,2021-08-21,Female,35-44,organic_search,15942
240,2021-11-02,Male,18-24,paid_search,15942
241,2020-02-05,Male,35-44,organic_search,15943
242,2021-07-20,Male,45-54,organic_search,15943
243,2021-01-15,Female,45-54,social_media,15943
245,2017-08-27,Male,25-34,email_campaign,15943
246,2022-07-31,Male,35-44,direct,15944
247,2018-02-10,Female,35-44,organic_search,15944
248,2019-11-13,Female,35-44,organic_search,15944
249,2022-03-31,Male,55+,social_media,15944
250,2018-11-07,Female,45-54,social_media,15944
251,2019-01-13,Female,25-34,paid_search,15945
252,2022-11-02,Male,45-54,social_media,15945
253,2015-05-18,Female,35-44,social_media,15945
254,2020-06-18,Female,35-44,email_campaign,15945
257,2015-05-24,Female,35-44,email_campaign,15946
258,2017-10-11,Female,35-44,organic_search,15946
259,2018-06-11,Male,25-34,paid_search,15946
263,2019-08-08,Male,35-44,organic_search,15948
264,2016-12-21,Male,25-34,organic_search,15948
266,2022-06-26,Female,35-44,organic_search,15949
267,2021-10-11,Female,25-34,organic_search,15949
269,2022-02-09,Female,45-54,paid_search,15949
270,2013-02-12,Female,55+,organic_search,15949
272,2018-11-05,Male,55+,email_campaign,15951
273,2022-03-08,Female,25-34,referral,15951
275,2016-08-03,Female,18-24,organic_search,15951
276,2016-04-03,Male,35-44,social_media,15952
277,2016-02-05,Male,25-34,paid_search,15952
278,2021-04-19,Male,18-24,paid_search,15952
279,2018-07-12,Female,18-24,organic_search,15952
280,2021-09-21,Male,55+,social_media,15952
281,2022-08-03,Female,25-34,social_media,15954
282,2017-08-24,Male,35-44,referral,15954
283,2021-12-15,Female,45-54,email_campaign,15954
284,2018-06-05,Male,55+,organic_search,15954
285,2020-09-27,Female,25-34,organic_search,15954
288,2015-10-22,Female,25-34,email_campaign,15955
289,2020-02-20,Female,45-54,social_media,15955
290,2018-07-31,Male,35-44,organic_search,15955
291,2012-10-03,Male,45-54,paid_search,15956
292,2022-12-23,Female,45-54,referral,15956
293,2021-12-23,Female,25-34,paid_search,15956
294,2018-05-27,Female,25-34,social_media,15956
295,2022-10-05,Female,35-44,paid_search,15956
296,2021-04-14,Male,25-34,organic_search,15957
297,2020-03-06,Female,25-34,organic_search,15957
298,2013-03-29,Male,35-44,social_media,15957
299,2015-06-09,Male,18-24,paid_search,15957
302,2021-03-27,Male,35-44,organic_search,15958
304,2021-07-17,Non-binary,25-34,organic_search,15958
305,2016-10-25,Male,25-34,organic_search,15958
306,2016-06-20,Male,45-54,paid_search,15959
307,2018-12-11,Male,55+,organic_search,15959
312,2017-09-26,Male,35-44,social_media,15960
313,2018-04-01,Female,45-54,paid_search,15960
314,2016-01-07,Male,25-34,organic_search,15960
317,2019-12-21,Female,18-24,paid_search,15961
318,2021-11-06,Female,35-44,paid_search,15961
319,2016-12-02,Non-binary,45-54,social_media,15961
325,2013-12-23,Male,45-54,organic_search,15963
326,2022-09-23,Female,55+,organic_search,16001
327,2019-03-18,Male,55+,paid_search,16001
332,2018-06-18,Male,45-54,email_campaign,16002
334,2016-02-13,Male,45-54,paid_search,16002
337,2017-11-25,Female,55+,organic_search,16020
339,2020-06-25,Female,18-24,organic_search,16020
340,2018-11-29,Male,45-54,organic_search,16020
342,2017-12-20,Non-binary,35-44,referral,16022
343,2013-12-07,Male,18-24,email_campaign,16022
344,2017-07-01,Female,45-54,organic_search,16022
345,2019-03-02,Female,45-54,social_media,16022
348,2018-08-11,Male,25-34,organic_search,16023
349,2022-01-05,Male,18-24,email_campaign,16023
350,2019-11-27,Female,18-24,direct,16023
352,2021-02-26,Female,45-54,email_campaign,16025
354,2016-04-02,Male,25-34,organic_search,16025
356,2017-04-15,Female,25-34,paid_search,16027
358,2018-06-12,Female,25-34,social_media,16027
359,2016-02-15,Male,45-54,social_media,16027
360,2020-03-30,Male,35-44,social_media,16027
361,2022-09-02,Male,35-44,organic_search,16028
362,2019-01-02,Female,45-54,email_campaign,16028
363,2021-09-25,Female,35-44,organic_search,16028
364,2020-12-10,Female,25-34,paid_search,16028
365,2019-10-06,Male,18-24,social_media,16028
366,2021-06-29,Male,45-54,paid_search,16029
367,2018-04-25,Male,35-44,organic_search,16029
368,2022-07-11,Male,45-54,organic_search,16029
369,2012-07-11,Female,18-24,organic_search,16029
371,2021-03-05,Male,25-34,referral,16030
372,2022-08-08,Male,45-54,referral,16030
373,2022-10-07,Male,55+,paid_search,16030
374,2022-03-28,Non-binary,18-24,social_media,16030
375,2019-07-19,Female,25-34,social_media,16030
376,2015-04-26,Female,18-24,organic_search,16033
377,2022-03-10,Female,35-44,direct,16033
378,2019-03-10,Female,55+,email_campaign,16033
379,2019-01-03,Male,18-24,email_campaign,16033
381,2022-08-09,Female,35-44,paid_search,16034
382,2018-11-08,Male,25-34,paid_search,16034
383,2018-12-15,Male,18-24,email_campaign,16034
384,2019-12-29,Male,45-54,referral,16034
385,2019-12-07,Male,35-44,paid_search,16034
386,2018-10-20,Female,25-34,social_media,16037
387,2016-06-19,Female,25-34,organic_search,16037
388,2020-02-09,Female,45-54,paid_search,16037
390,2022-04-15,Male,55+,organic_search,16037
392,2021-10-22,Female,25-34,referral,16038
393,2018-11-11,Male,25-34,paid_search,16038
394,2021-04-03,Male,18-24,paid_search,16038
395,2012-04-06,Female,25-34,social_media,16038
396,2018-09-13,Female,18-24,paid_search,16040
397,2020-03-13,Non-binary,35-44,social_media,16040
398,2021-07-09,Male,45-54,email_campaign,16040
399,2022-02-11,Female,55+,organic_search,16040
400,2020-07-11,Male,45-54,email_campaign,16040
401,2020-04-25,Male,25-34,organic_search,16041
402,2017-10-13,Male,45-54,social_media,16041
403,2020-08-07,Male,25-34,organic_search,16041
406,2017-02-26,Female,45-54,paid_search,16045
407,2015-08-25,Male,25-34,organic_search,16045
408,2020-12-22,Male,25-34,paid_search,16045
409,2021-12-11,Female,35-44,organic_search,16045
410,2019-03-30,Female,55+,email_campaign,16045
412,2022-11-01,Male,25-34,organic_search,16046
413,2022-04-03,Male,25-34,social_media,16046
414,2017-12-06,Female,35-44,organic_search,16046
415,2017-08-01,Female,35-44,paid_search,16046
416,2013-12-18,Female,25-34,paid_search,16049
417,2018-03-11,Female,25-34,paid_search,16049
418,2020-08-14,Female,45-54,organic_search,16049
420,2015-05-20,Male,18-24,direct,16049
421,2020-01-19,Female,25-34,social_media,16050
422,2021-12-02,Female,18-24,organic_search,16050
423,2017-07-08,Female,35-44,social_media,16050
424,2022-06-07,Male,18-24,organic_search,16050
425,2020-10-16,Male,25-34,organic_search,16050
426,2018-03-07,Female,55+,email_campaign,16051
427,2022-02-15,Female,25-34,direct,16051
428,2012-12-10,Male,55+,direct,16051
429,2022-10-31,Female,55+,social_media,16051
430,2022-12-20,Male,25-34,social_media,16051
431,2016-02-02,Male,35-44,direct,16052
432,2020-02-26,Male,45-54,referral,16052
433,2017-04-01,Female,55+,social_media,16052
435,2020-12-30,Female,45-54,organic_search,16052
436,2014-10-23,Female,35-44,organic_search,16053
437,2018-03-31,Female,45-54,paid_search,16053
439,2020-06-12,Female,25-34,social_media,16053
441,2022-03-19,Female,18-24,paid_search,16054
443,2021-08-24,Male,25-34,paid_search,16054
446,2021-10-14,Female,55+,direct,16055
447,2022-08-08,Female,25-34,email_campaign,16055
448,2020-11-18,Male,35-44,paid_search,16055
450,2021-04-03,Female,18-24,social_media,16055
452,2022-10-12,Male,45-54,organic_search,16056
453,2020-08-12,Female,35-44,paid_search,16056
454,2018-05-15,Female,35-44,email_campaign,16056
455,2018-03-22,Male,25-34,referral,16056
456,2021-12-25,Female,55+,paid_search,16057
457,2022-12-09,Female,35-44,paid_search,16057
458,2021-01-10,Male,35-44,organic_search,16057
459,2021-11-24,Male,45-54,organic_search,16057
460,2018-07-22,Male,18-24,direct,16057
461,2015-06-28,Female,25-34,email_campaign,16059
462,2018-09-08,Female,25-34,social_media,16059
463,2018-07-09,Female,35-44,organic_search,16059
464,2019-01-27,Female,35-44,organic_search,16059
465,2021-03-10,Male,18-24,organic_search,16059
466,2016-08-28,Female,18-24,paid_search,16061
467,2018-01-06,Female,18-24,direct,16061
468,2022-05-31,Male,25-34,paid_search,16061
469,2022-07-04,Male,18-24,email_campaign,16061
470,2015-03-06,Non-binary,25-34,social_media,16061
471,2019-12-26,Female,45-54,paid_search,16063
472,2021-03-17,Male,25-34,email_campaign,16063
473,2020-01-24,Female,25-34,paid_search,16063
474,2017-09-09,Female,45-54,direct,16063
475,2020-02-08,Female,25-34,social_media,16063
477,2021-07-21,Female,25-34,email_campaign,16066
478,2022-06-04,Female,55+,organic_search,16066
480,2022-12-08,Female,45-54,organic_search,16066
481,2019-09-18,Female,35-44,paid_search,16101
482,2012-12-21,Female,45-54,social_media,16101
483,2019-06-02,Female,35-44,direct,16101
484,2022-11-07,Female,45-54,referral,16101
487,2020-02-04,Female,45-54,email_campaign,16102
488,2022-10-22,Female,55+,paid_search,16102
489,2021-03-28,Male,25-34,email_campaign,16102
490,2021-09-16,Female,25-34,organic_search,16102
491,2017-11-16,Female,18-24,email_campaign,16105
492,2017-11-11,Non-binary,25-34,organic_search,16105
493,2020-04-03,Female,45-54,social_media,16105
494,2014-02-20,Non-binary,18-24,social_media,16105
495,2019-04-02,Female,45-54,organic_search,16105
496,2022-04-20,Female,35-44,paid_search,16107
497,2019-12-14,Male,45-54,organic_search,16107
498,2017-01-31,Male,25-34,referral,16107
499,2020-07-19,Female,45-54,organic_search,16107
500,2016-06-22,Female,35-44,referral,16107
501,2021-11-11,Female,18-24,social_media,16110
502,2014-01-23,Male,35-44,organic_search,16110
503,2019-11-07,Male,25-34,social_media,16110
504,2021-05-23,Male,45-54,paid_search,16110
505,2014-01-25,Male,45-54,organic_search,16110
506,2022-01-08,Male,35-44,paid_search,16111
507,2016-08-11,Male,25-34,direct,16111
508,2020-06-30,Female,35-44,social_media,16111
509,2014-10-24,Male,25-34,email_campaign,16111
510,2019-09-13,Male,25-34,organic_search,16111
511,2017-10-03,Male,55+,organic_search,16112
512,2019-02-24,Female,25-34,direct,16112
513,2022-11-27,Male,25-34,email_campaign,16112
514,2019-09-13,Female,25-34,paid_search,16112
515,2022-11-03,Male,25-34,organic_search,16112
517,2018-04-14,Female,55+,social_media,16115
518,2015-08-03,Male,18-24,direct,16115
519,2013-10-01,Male,18-24,social_media,16115
520,2021-03-08,Female,35-44,organic_search,16115
522,2019-05-26,Female,45-54,social_media,16116
523,2022-01-29,Male,25-34,social_media,16116
525,2022-02-03,Male,55+,email_campaign,16116
526,2022-11-09,Female,25-34,social_media,16117
528,2017-08-03,Male,35-44,organic_search,16117
529,2013-10-17,Male,55+,paid_search,16117
530,2016-11-20,Female,25-34,social_media,16117
531,2016-06-13,Non-binary,18-24,organic_search,16120
532,2022-03-25,Male,18-24,email_campaign,16120
533,2021-05-22,Female,25-34,organic_search,16120
534,2017-11-03,Male,45-54,organic_search,16120
535,2022-06-15,Female,35-44,social_media,16120
536,2022-12-12,Male,45-54,organic_search,16123
537,2017-02-15,Male,45-54,email_campaign,16123
538,2021-09-28,Male,25-34,organic_search,16123
539,2022-10-23,Male,25-34,organic_search,16123
540,2016-03-28,Male,45-54,social_media,16123
543,2016-02-13,Female,35-44,organic_search,16130
544,2014-01-05,Female,45-54,email_campaign,16130
545,2018-12-26,Female,18-24,paid_search,16130
546,2022-04-15,Female,35-44,social_media,16131
548,2019-11-16,Female,45-54,paid_search,16131
549,2022-07-27,Female,25-34,email_campaign,16131
550,2015-06-16,Male,35-44,social_media,16131
551,2022-05-22,Female,18-24,referral,16132
552,2021-11-25,Male,35-44,organic_search,16132
553,2015-12-31,Male,35-44,organic_search,16132
554,2022-12-26,Female,55+,organic_search,16132
556,2021-09-08,Male,25-34,organic_search,16134
557,2016-05-10,Male,25-34,social_media,16134
560,2019-05-15,Male,35-44,social_media,16134
561,2020-03-08,Male,25-34,referral,16136
562,2019-08-12,Female,25-34,referral,16136
563,2020-11-22,Female,25-34,paid_search,16136
564,2019-04-22,Female,55+,referral,16136
567,2016-01-26,Female,45-54,referral,16141
569,2021-12-19,Male,35-44,organic_search,16141
571,2022-07-07,Male,18-24,email_campaign,16142
572,2020-04-02,Female,35-44,organic_search,16142
573,2022-09-16,Male,18-24,organic_search,16142
575,2018-07-02,Male,25-34,social_media,16142
577,2021-03-04,Male,25-34,organic_search,16143
578,2020-09-10,Female,35-44,social_media,16143
579,2020-04-02,Male,25-34,social_media,16143
580,2022-09-08,Female,45-54,organic_search,16143
581,2018-06-25,Female,25-34,referral,16151
584,2015-09-09,Male,35-44,organic_search,16151
586,2018-03-06,Female,25-34,organic_search,16156
587,2020-07-10,Female,18-24,paid_search,16156
588,2021-10-07,Female,35-44,social_media,16156
589,2019-09-13,Male,18-24,email_campaign,16156
590,2014-02-16,Female,45-54,referral,16156
592,2017-05-03,Female,35-44,organic_search,16157
593,2017-10-06,Female,45-54,paid_search,16157
595,2019-04-19,Female,25-34,organic_search,16157
597,2022-06-20,Non-binary,18-24,social_media,16160
598,2018-07-29,Male,25-34,email_campaign,16160
599,2013-04-09,Male,55+,social_media,16160
601,2015-09-01,Male,18-24,paid_search,16201
602,2022-08-10,Male,45-54,social_media,16201
603,2020-09-27,Female,18-24,organic_search,16201
604,2022-11-19,Female,35-44,organic_search,16201
605,2022-05-22,Female,45-54,social_media,16201
606,2022-01-17,Male,45-54,social_media,16210
607,2020-10-04,Female,45-54,email_campaign,16210
609,2015-10-28,Female,45-54,organic_search,16210
610,2017-11-21,Male,55+,email_campaign,16210
611,2022-05-25,Female,45-54,social_media,16213
612,2018-12-03,Female,45-54,social_media,16213
613,2021-07-14,Female,25-34,paid_search,16213
614,2020-08-08,Female,25-34,organic_search,16213
615,2021-02-09,Male,25-34,organic_search,16213
616,2020-02-27,Male,55+,social_media,16214
617,2022-10-18,Male,18-24,social_media,16214
618,2019-03-12,Male,45-54,social_media,16214
619,2022-06-24,Female,25-34,social_media,16214
620,2018-07-06,Male,55+,social_media,16214
621,2018-04-10,Male,25-34,organic_search,16217
622,2016-05-07,Female,25-34,social_media,16217
623,2017-06-29,Male,35-44,email_campaign,16217
624,2016-04-30,Female,45-54,organic_search,16217
625,2021-02-25,Male,35-44,paid_search,16217
626,2022-11-30,Male,18-24,organic_search,16218
627,2017-05-21,Male,45-54,organic_search,16218
628,2017-10-27,Female,18-24,social_media,16218
629,2020-09-13,Male,55+,referral,16218
630,2022-08-22,Male,55+,direct,16218
632,2021-01-20,Female,18-24,organic_search,16220
633,2018-08-27,Non-binary,25-34,email_campaign,16220
634,2015-12-21,Female,45-54,direct,16220
635,2017-07-07,Male,18-24,paid_search,16220
636,2017-12-19,Male,18-24,paid_search,16222
637,2017-04-20,Female,35-44,paid_search,16222
638,2013-07-01,Female,25-34,organic_search,16222
639,2021-02-19,Female,35-44,email_campaign,16222
640,2018-07-21,Male,45-54,social_media,16222
642,2021-04-20,Female,35-44,direct,16223
643,2022-06-10,Female,35-44,email_campaign,16223
644,2016-06-13,Male,25-34,social_media,16223
646,2020-10-04,Female,25-34,direct,16224
648,2021-06-21,Female,35-44,organic_search,16224
649,2020-07-26,Male,35-44,social_media,16224
650,2020-04-19,Male,55+,organic_search,16224
651,2017-05-16,Female,35-44,social_media,16225
652,2014-11-04,Female,25-34,organic_search,16225
654,2020-08-22,Female,35-44,social_media,16225
656,2019-12-01,Female,35-44,social_media,16226
657,2015-05-31,Female,45-54,direct,16226
658,2021-12-01,Female,35-44,paid_search,16226
659,2014-11-26,Male,35-44,organic_search,16226
660,2016-11-01,Female,35-44,social_media,16226
661,2021-05-19,Male,18-24,organic_search,16228
662,2018-11-23,Male,18-24,social_media,16228
664,2016-04-23,Male,45-54,referral,16228
665,2022-12-05,Male,45-54,organic_search,16228
666,2021-09-25,Female,55+,organic_search,16229
668,2017-12-11,Male,45-54,organic_search,16229
669,2021-01-14,Male,18-24,direct,16229
670,2020-05-23,Female,45-54,direct,16229
671,2020-04-27,Male,25-34,organic_search,16230
674,2018-11-29,Male,55+,email_campaign,16230
675,2021-11-07,Non-binary,25-34,organic_search,16230
676,2021-10-05,Female,25-34,organic_search,16232
677,2022-10-02,Male,18-24,organic_search,16232
679,2017-09-14,Male,45-54,organic_search,16232
680,2017-09-30,Male,45-54,organic_search,16232
681,2022-02-27,Male,35-44,paid_search,16233
682,2016-12-17,Female,45-54,organic_search,16233
683,2017-03-21,Female,35-44,organic_search,16233
684,2015-06-08,Female,25-34,paid_search,16233
685,2012-08-28,Male,35-44,paid_search,16233
686,2020-05-23,Female,18-24,paid_search,16234
687,2021-08-19,Male,45-54,social_media,16234
688,2018-10-01,Female,45-54,referral,16234
689,2018-01-07,Male,35-44,referral,16234
690,2022-07-06,Non-binary,45-54,paid_search,16234
691,2022-06-25,Male,35-44,email_campaign,16235
692,2020-06-04,Female,35-44,referral,16235
693,2022-05-13,Male,45-54,paid_search,16235
696,2021-11-19,Male,35-44,social_media,16236
697,2022-03-01,Female,35-44,organic_search,16236
699,2020-02-26,Male,35-44,organic_search,16236
700,2021-03-24,Male,25-34,organic_search,16236
701,2022-01-22,Female,25-34,direct,16238
704,2015-05-08,Male,35-44,referral,16238
705,2017-02-05,Female,25-34,social_media,16238
706,2018-12-09,Male,25-34,referral,16239
707,2022-10-26,Male,25-34,organic_search,16239
708,2021-06-07,Female,45-54,social_media,16239
709,2018-09-20,Female,25-34,paid_search,16239
710,2016-06-01,Male,18-24,paid_search,16239
711,2022-05-17,Female,18-24,organic_search,16240
712,2022-06-16,Male,25-34,referral,16240
714,2020-11-04,Male,35-44,paid_search,16240
715,2020-10-14,Female,55+,email_campaign,16240
716,2015-07-22,Male,45-54,organic_search,16242
717,2014-07-04,Male,25-34,paid_search,16242
718,2020-03-21,Female,35-44,referral,16242
719,2019-02-06,Female,35-44,organic_search,16242
720,2018-04-05,Male,35-44,paid_search,16242
721,2015-10-15,Female,25-34,organic_search,16244
724,2021-06-25,Male,25-34,paid_search,16244
727,2022-04-01,Female,35-44,direct,16245
728,2018-06-30,Male,18-24,organic_search,16245
729,2014-07-08,Female,35-44,email_campaign,16245
730,2022-11-14,Male,25-34,organic_search,16245
731,2020-07-29,Non-binary,35-44,direct,16246
732,2022-02-02,Male,35-44,social_media,16246
734,2017-05-01,Female,45-54,organic_search,16246
735,2021-07-25,Male,55+,organic_search,16246
736,2021-12-17,Female,45-54,social_media,16248
737,2020-10-07,Non-binary,25-34,paid_search,16248
738,2015-10-14,Male,35-44,organic_search,16248
739,2019-05-18,Male,45-54,direct,16248
740,2019-03-22,Male,25-34,direct,16248
741,2022-03-26,Male,18-24,organic_search,16249
743,2019-03-08,Male,35-44,organic_search,16249
744,2022-05-30,Female,35-44,email_campaign,16249
745,2018-09-19,Female,35-44,referral,16249
748,2021-04-10,Male,25-34,referral,16253
749,2020-06-07,Female,55+,paid_search,16253
750,2019-01-06,Female,25-34,organic_search,16253
751,2019-02-10,Male,25-34,paid_search,16254
753,2019-12-14,Female,25-34,paid_search,16254
754,2020-12-20,Male,35-44,paid_search,16254
756,2022-02-19,Female,25-34,email_campaign,16255
757,2021-03-17,Female,55+,referral,16255
758,2020-01-15,Female,35-44,referral,16255
