review_id,review_date,rating,review_title,customerscustomer_id,productsproduct_id
REV-0000131,2012-07-18,5,Excellent product!,85748,574
REV-0000132,2012-08-10,4,Happy with purchase,124253,915
REV-0000134,2012-07-31,1,Poor quality,87236,573
REV-0000135,2012-07-18,5,Very satisfied,132864,467
REV-0000136,2012-07-26,5,Highly recommend,133746,726
REV-0000138,2012-07-20,5,Highly recommend,59887,676
REV-0000139,2012-07-25,5,Highly recommend,59914,2054
REV-0000140,2012-07-19,3,"Decent, nothing special",42818,443
REV-0000142,2012-07-30,4,Happy with purchase,896,725
REV-0000143,2012-08-13,5,Highly recommend,896,726
REV-0000144,2012-07-24,5,Very satisfied,1017,1486
REV-0000145,2012-07-24,5,Excellent product!,7244,396
REV-0000146,2012-08-02,5,Highly recommend,8069,2252
REV-0000147,2012-08-19,5,Highly recommend,8069,2253
REV-0000148,2012-08-11,5,Great quality,4445,990
REV-0000150,2012-08-08,5,Great quality,67805,596
REV-0000151,2012-08-10,2,Below expectations,68613,725
REV-0000152,2012-08-08,5,Highly recommend,68621,768
REV-0000153,2012-08-12,4,Works well,60157,1432
REV-0000154,2012-08-15,2,Would not reorder,60409,2263
REV-0000155,2012-07-29,3,"Decent, nothing special",72622,785
REV-0000156,2012-07-14,5,Highly recommend,20661,1862
REV-0000158,2012-08-13,1,Would not recommend,19374,2064
REV-0000159,2012-07-27,3,Mixed feelings,72925,1085
REV-0000160,2012-07-30,4,Happy with purchase,98692,1229
REV-0000161,2012-07-29,5,Excellent product!,45846,1112
REV-0000162,2012-07-30,4,Good overall,46207,2352
REV-0000163,2012-07-21,4,Happy with purchase,27725,2254
REV-0000166,2012-07-15,4,Happy with purchase,36514,2353
REV-0000167,2012-07-29,4,Solid choice,29627,604
REV-0000168,2012-07-18,5,Very satisfied,32554,1909
REV-0000169,2012-07-22,3,"Decent, nothing special",114221,1131
REV-0000170,2012-07-18,4,Good overall,118362,1215
REV-0000171,2012-08-01,4,Works well,118794,967
REV-0000173,2012-07-31,2,Below expectations,121790,2353
REV-0000176,2012-08-14,5,Excellent product!,95005,2022
REV-0000177,2012-07-24,4,Solid choice,95003,2112
REV-0000178,2012-08-06,5,Very satisfied,100710,1425
REV-0000179,2012-08-09,4,Works well,93100,2295
REV-0000180,2012-08-05,4,Good overall,127310,606
REV-0000181,2012-08-16,4,Solid choice,124848,1173
REV-0000182,2012-07-31,3,"Decent, nothing special",128857,1227
REV-0000183,2012-08-05,4,Works well,129764,964
REV-0000184,2012-08-07,1,Would not recommend,109260,396
REV-0000185,2012-07-15,5,Great quality,107487,2251
REV-0000186,2012-08-15,3,Mixed feelings,155045,671
REV-0000188,2012-08-03,5,Great quality,154444,2373
REV-0000189,2012-07-19,4,Solid choice,144324,573
REV-0000190,2012-07-28,4,Works well,140647,976
REV-0000191,2012-08-04,4,Good overall,141442,981
REV-0000194,2012-08-01,1,Not as described,136109,609
REV-0000195,2012-08-06,5,Great quality,56143,467
REV-0000198,2012-08-13,5,Very satisfied,15438,604
REV-0000199,2012-08-14,3,"Decent, nothing special",44041,1143
REV-0000200,2012-07-26,4,Solid choice,51389,604
REV-0000201,2012-07-21,4,Works well,52078,992
REV-0000202,2012-07-24,5,Highly recommend,60635,1966
REV-0000204,2012-08-09,4,Works well,63551,2332
REV-0000205,2012-07-24,4,Happy with purchase,53856,2047
REV-0000206,2012-08-13,4,Good overall,55492,729
REV-0000209,2012-08-08,4,Works well,71673,475
REV-0000211,2012-07-17,3,Average product,25558,2016
REV-0000212,2012-08-18,5,Great quality,25819,604
REV-0000213,2012-08-17,5,Very satisfied,27756,1490
REV-0000214,2012-07-27,3,Mixed feelings,23881,2205
REV-0000215,2012-08-16,4,Solid choice,29120,671
REV-0000216,2012-07-19,2,Some issues,29407,1436
REV-0000217,2012-08-08,4,Works well,113518,484
REV-0000219,2012-07-29,4,Works well,32737,574
REV-0000220,2012-08-11,1,Poor quality,84456,1057
REV-0000221,2012-07-24,3,Average product,84456,1058
REV-0000222,2012-08-06,3,Mixed feelings,111579,1201
REV-0000223,2012-08-07,5,Very satisfied,115881,600
REV-0000225,2012-08-18,4,Solid choice,103179,2254
REV-0000227,2012-07-26,1,Very disappointed,103495,826
REV-0000229,2012-08-06,4,Solid choice,105373,725
REV-0000230,2012-08-15,4,Good overall,156887,758
REV-0000232,2012-07-27,3,"Decent, nothing special",121683,574
REV-0000233,2012-08-11,4,Works well,109437,475
REV-0000235,2012-07-18,5,Excellent product!,83599,767
REV-0000237,2012-08-07,4,Solid choice,81902,635
REV-0000238,2012-08-11,5,Excellent product!,80954,1062
REV-0000239,2012-08-07,4,Good overall,112711,691
REV-0000241,2012-08-07,5,Very satisfied,127796,676
REV-0000242,2012-07-29,4,Happy with purchase,128762,725
REV-0000243,2012-07-24,4,Happy with purchase,129332,976
REV-0000244,2012-07-17,4,Good overall,130217,559
REV-0000245,2012-08-03,2,Some issues,107304,475
REV-0000246,2012-07-22,5,Very satisfied,107788,533
REV-0000247,2012-08-11,5,Excellent product!,107967,600
REV-0000251,2012-07-27,2,Would not reorder,143102,1203
REV-0000252,2012-08-09,5,Great quality,140818,1352
REV-0000253,2012-08-04,5,Highly recommend,137635,729
REV-0000254,2012-08-04,4,Solid choice,141296,1201
REV-0000255,2012-07-26,5,Very satisfied,139360,604
REV-0000256,2012-08-15,5,Excellent product!,134192,604
REV-0000257,2012-07-28,5,Excellent product!,134938,609
REV-0000258,2012-08-10,4,Happy with purchase,136997,1182
REV-0000259,2012-08-01,4,Good overall,147283,691
REV-0000261,2012-08-02,4,Good overall,149239,2277
REV-0000264,2012-07-19,4,Good overall,57252,2331
REV-0000266,2012-08-06,5,Very satisfied,43166,2388
REV-0000267,2012-07-22,4,Happy with purchase,14545,2091
REV-0000268,2012-07-24,4,Works well,10441,2371
REV-0000269,2012-08-05,3,"Decent, nothing special",1415,954
REV-0000270,2012-07-23,5,Highly recommend,1132,1974
REV-0000271,2012-08-10,4,Works well,7310,550
REV-0000272,2012-08-07,5,Excellent product!,3570,992
REV-0000273,2012-08-01,4,Good overall,7830,510
REV-0000274,2012-08-17,4,Happy with purchase,65206,726
REV-0000275,2012-07-31,4,Good overall,68104,2343
REV-0000277,2012-08-06,5,Excellent product!,50263,512
REV-0000278,2012-08-02,5,Excellent product!,62047,1203
REV-0000279,2012-08-09,5,Excellent product!,62366,495
REV-0000281,2012-07-22,3,"Decent, nothing special",61542,768
REV-0000282,2012-08-07,3,Mixed feelings,21751,1232
REV-0000283,2012-08-15,5,Very satisfied,19073,2373
REV-0000285,2012-08-03,4,Happy with purchase,45494,1005
REV-0000286,2012-08-10,5,Very satisfied,25636,2255
REV-0000287,2012-08-18,4,Solid choice,25636,2254
REV-0000288,2012-08-04,5,Highly recommend,27947,1017
REV-0000289,2012-07-31,3,"Decent, nothing special",28208,1203
REV-0000290,2012-07-16,5,Very satisfied,28208,1230
REV-0000291,2012-07-27,5,Great quality,29525,1086
REV-0000292,2012-08-07,4,Works well,29525,1085
REV-0000293,2012-07-29,4,Good overall,115787,2145
REV-0000294,2012-08-02,4,Solid choice,114487,2149
REV-0000295,2012-08-14,4,Solid choice,106097,426
REV-0000296,2012-07-27,5,Very satisfied,105286,396
REV-0000297,2012-08-03,4,Solid choice,156306,739
REV-0000298,2012-07-20,5,Great quality,157000,1086
REV-0000299,2012-08-10,3,"Decent, nothing special",117562,609
REV-0000300,2012-08-01,4,Works well,118458,635
REV-0000301,2012-08-13,5,Excellent product!,119627,559
REV-0000302,2012-07-20,5,Very satisfied,47217,1213
REV-0000303,2012-07-19,2,Below expectations,47382,573
REV-0000304,2012-07-16,5,Very satisfied,100161,992
REV-0000305,2012-08-06,3,Mixed feelings,100506,826
REV-0000306,2012-07-29,1,Poor quality,127309,1041
REV-0000307,2012-07-17,5,Very satisfied,107059,2359
REV-0000308,2012-07-21,5,Great quality,107273,966
REV-0000309,2012-07-31,4,Happy with purchase,145220,1148
REV-0000310,2012-08-05,5,Very satisfied,139891,967
REV-0000311,2012-07-24,2,Some issues,139650,786
REV-0000312,2012-07-21,4,Solid choice,141491,2359
REV-0000313,2012-07-21,4,Happy with purchase,141498,936
REV-0000314,2012-07-30,5,Highly recommend,141777,2016
REV-0000315,2012-07-27,3,Mixed feelings,133289,2053
REV-0000317,2012-08-14,5,Excellent product!,137517,2241
REV-0000318,2012-08-09,4,Good overall,147577,604
REV-0000319,2012-08-05,1,Would not recommend,148518,382
REV-0000320,2012-07-25,4,Works well,148579,1916
REV-0000321,2012-08-05,3,Mixed feelings,149753,726
REV-0000322,2012-08-14,4,Happy with purchase,150270,785
REV-0000323,2012-07-21,4,Works well,147902,691
REV-0000324,2012-08-12,2,Below expectations,148333,1000
REV-0000325,2012-07-25,4,Solid choice,41073,2373
REV-0000326,2012-07-31,5,Great quality,42051,1191
REV-0000328,2012-07-31,5,Excellent product!,12964,770
REV-0000330,2012-08-17,4,Solid choice,13246,1934
REV-0000331,2012-08-07,5,Great quality,1238,2400
REV-0000332,2012-08-07,4,Solid choice,7014,992
REV-0000333,2012-07-26,4,Happy with purchase,44086,2331
REV-0000334,2012-07-30,2,Below expectations,65506,2071
REV-0000335,2012-08-04,5,Very satisfied,50755,512
REV-0000336,2012-08-09,3,Average product,51973,574
REV-0000337,2012-07-20,4,Solid choice,62199,647
REV-0000339,2012-08-16,5,Highly recommend,74677,910
REV-0000340,2012-08-03,2,Some issues,46700,976
REV-0000341,2012-08-08,5,Great quality,77913,757
REV-0000342,2012-08-11,5,Excellent product!,77913,758
REV-0000344,2012-08-08,5,Great quality,26501,1062
REV-0000348,2012-08-03,5,Excellent product!,85335,2083
REV-0000349,2012-07-30,2,Below expectations,90406,2400
REV-0000350,2012-08-13,5,Very satisfied,117892,1000
REV-0000351,2012-07-31,4,Solid choice,118075,1436
REV-0000352,2012-08-04,4,Solid choice,109458,915
REV-0000355,2012-07-22,5,Highly recommend,94589,964
REV-0000356,2012-08-07,4,Solid choice,100125,676
REV-0000357,2012-08-12,5,Very satisfied,128291,671
REV-0000358,2012-08-19,4,Happy with purchase,128832,2056
REV-0000359,2012-07-26,4,Happy with purchase,129708,702
REV-0000361,2012-07-21,5,Very satisfied,154097,1000
REV-0000362,2012-08-11,5,Very satisfied,140237,2046
REV-0000363,2012-08-07,4,Happy with purchase,137871,739
REV-0000366,2012-08-05,4,Works well,141697,725
REV-0000367,2012-07-31,4,Solid choice,141697,795
REV-0000370,2012-08-13,4,Solid choice,148819,1859
REV-0000371,2012-08-06,3,Average product,150259,786
REV-0000372,2012-08-11,2,Would not reorder,148030,559
REV-0000373,2012-08-12,5,Very satisfied,58586,2352
REV-0000376,2012-08-14,5,Great quality,9999,1765
REV-0000377,2012-07-21,4,Works well,39489,964
REV-0000379,2012-08-06,5,Highly recommend,62092,2400
REV-0000380,2012-08-13,5,Very satisfied,54463,769
REV-0000381,2012-08-16,4,Solid choice,54465,770
REV-0000382,2012-08-14,4,Good overall,20414,2388
REV-0000383,2012-08-02,4,Solid choice,72949,2235
REV-0000384,2012-08-02,4,Works well,46040,671
REV-0000385,2012-08-02,5,Highly recommend,34176,618
REV-0000386,2012-08-08,2,Below expectations,78448,826
REV-0000387,2012-08-13,5,Great quality,36917,2396
REV-0000388,2012-08-03,1,Not as described,30754,2235
REV-0000389,2012-08-08,2,Some issues,32755,1432
REV-0000391,2012-07-28,1,Very disappointed,112058,2071
REV-0000392,2012-08-10,5,Highly recommend,117476,1041
REV-0000393,2012-08-21,3,"Decent, nothing special",119259,647
REV-0000394,2012-08-06,5,Great quality,119016,726
REV-0000395,2012-07-26,4,Solid choice,119433,1114
REV-0000396,2012-07-20,5,Great quality,124742,475
REV-0000397,2012-07-23,5,Highly recommend,128397,1182
REV-0000398,2012-07-23,4,Works well,131051,1005
REV-0000400,2012-08-07,4,Solid choice,107804,767
REV-0000401,2012-08-03,4,Solid choice,107936,725
REV-0000402,2012-07-22,4,Works well,109014,550
REV-0000405,2012-07-25,4,Works well,142075,647
REV-0000406,2012-07-31,4,Good overall,142134,702
REV-0000407,2012-08-13,2,Some issues,133824,739
REV-0000408,2012-08-10,5,Excellent product!,134506,1053
REV-0000411,2012-08-01,3,Mixed feelings,22969,954
REV-0000412,2012-08-08,4,Works well,74468,964
REV-0000413,2012-08-12,3,Mixed feelings,74983,976
REV-0000414,2012-07-26,5,Great quality,99485,826
REV-0000415,2012-07-24,5,Great quality,24142,559
REV-0000417,2012-07-24,3,"Decent, nothing special",103219,400
REV-0000418,2012-07-24,4,Solid choice,105261,1859
REV-0000419,2012-08-09,1,Very disappointed,104280,826
REV-0000420,2012-08-23,4,Works well,121534,1870
REV-0000421,2012-07-26,4,Works well,128435,1903
REV-0000422,2012-08-15,5,Excellent product!,131565,512
REV-0000423,2012-08-05,4,Solid choice,131323,31
REV-0000424,2012-08-10,4,Solid choice,127133,631
REV-0000425,2012-08-01,3,Mixed feelings,145176,992
REV-0000428,2012-08-12,1,Very disappointed,136144,396
REV-0000431,2012-08-21,4,Happy with purchase,58766,1114
REV-0000432,2012-07-23,3,"Decent, nothing special",59860,604
REV-0000433,2012-08-04,4,Happy with purchase,42680,1201
REV-0000434,2012-08-13,5,Excellent product!,12502,2054
REV-0000435,2012-08-13,3,Average product,13748,1173
REV-0000436,2012-08-16,5,Highly recommend,2820,1926
REV-0000437,2012-08-09,5,Very satisfied,8595,952
REV-0000440,2012-08-03,1,Very disappointed,8061,1974
REV-0000441,2012-08-13,4,Works well,64508,1000
REV-0000442,2012-07-28,1,Not as described,43952,2380
REV-0000443,2012-08-07,4,Happy with purchase,43949,2251
REV-0000444,2012-07-27,5,Excellent product!,66655,2373
REV-0000445,2012-08-12,4,Solid choice,38212,2280
REV-0000446,2012-08-02,3,"Decent, nothing special",38431,1432
REV-0000447,2012-08-06,3,Average product,62092,702
REV-0000448,2012-08-13,3,Average product,53959,2045
REV-0000449,2012-08-18,5,Very satisfied,19105,2253
REV-0000451,2012-08-08,3,Mixed feelings,71723,1479
REV-0000452,2012-07-26,4,Works well,71723,1480
REV-0000453,2012-08-18,5,Excellent product!,74367,757
REV-0000454,2012-08-02,5,Highly recommend,74367,758
REV-0000456,2012-08-12,2,Some issues,28496,726
REV-0000457,2012-08-17,5,Great quality,34733,2400
REV-0000458,2012-08-04,4,Happy with purchase,35018,1006
REV-0000459,2012-08-26,5,Highly recommend,78260,600
REV-0000463,2012-08-02,5,Highly recommend,31886,2380
REV-0000464,2012-07-28,2,Would not reorder,33774,2332
REV-0000465,2012-08-14,5,Excellent product!,115627,2396
REV-0000467,2012-08-19,4,Works well,106052,2400
REV-0000468,2012-07-30,4,Good overall,118102,2332
REV-0000469,2012-08-11,4,Good overall,119468,606
REV-0000470,2012-07-27,2,Would not reorder,121343,1114
REV-0000471,2012-08-11,5,Highly recommend,109853,2071
REV-0000472,2012-08-07,4,Good overall,100350,1934
REV-0000473,2012-07-28,4,Works well,102139,1046
REV-0000475,2012-08-21,5,Highly recommend,125038,1186
REV-0000476,2012-08-21,2,Some issues,125086,647
REV-0000477,2012-08-11,4,Solid choice,125293,2253
REV-0000478,2012-07-29,5,Very satisfied,128845,2384
REV-0000479,2012-07-28,5,Excellent product!,107052,2055
REV-0000481,2012-08-16,5,Excellent product!,108553,1431
REV-0000482,2012-08-21,2,Would not reorder,153887,671
REV-0000485,2012-08-02,5,Very satisfied,141433,729
REV-0000488,2012-07-24,5,Highly recommend,150903,2400
REV-0000489,2012-08-06,5,Very satisfied,148515,2083
REV-0000490,2012-08-18,2,Below expectations,149206,681
REV-0000491,2012-08-16,3,Average product,147750,1213
REV-0000492,2012-08-03,5,Great quality,58627,1003
REV-0000493,2012-07-24,4,Happy with purchase,58970,785
REV-0000494,2012-08-11,3,Mixed feelings,59138,1186
REV-0000495,2012-08-23,2,Would not reorder,59262,512
REV-0000496,2012-08-18,4,Good overall,59363,768
REV-0000497,2012-07-23,5,Highly recommend,59832,739
REV-0000498,2012-08-20,5,Very satisfied,57946,1215
REV-0000499,2012-08-24,2,Would not reorder,56443,2047
REV-0000500,2012-08-23,3,Mixed feelings,56487,2384
REV-0000501,2012-08-19,5,Excellent product!,56891,1818
REV-0000503,2012-08-02,5,Great quality,43234,1926
REV-0000506,2012-08-21,5,Great quality,11423,915
REV-0000508,2012-08-16,1,Very disappointed,11936,2234
REV-0000509,2012-08-18,4,Works well,12084,2331
REV-0000512,2012-07-31,5,Very satisfied,6274,910
REV-0000513,2012-08-17,4,Good overall,3435,910
REV-0000518,2012-08-23,3,Average product,20855,681
REV-0000519,2012-07-23,4,Solid choice,21899,1766
REV-0000520,2012-08-06,2,Below expectations,26076,768
REV-0000521,2012-07-26,5,Excellent product!,26077,767
REV-0000522,2012-08-05,5,Highly recommend,26423,989
REV-0000523,2012-08-05,4,Happy with purchase,27983,1000
REV-0000526,2012-08-14,4,Good overall,115342,574
REV-0000527,2012-07-27,4,Solid choice,115662,2400
REV-0000528,2012-07-31,5,Very satisfied,103302,2071
REV-0000530,2012-08-03,5,Highly recommend,118409,467
REV-0000531,2012-07-23,5,Very satisfied,119134,819
REV-0000532,2012-08-03,4,Works well,119144,729
REV-0000535,2012-08-14,5,Great quality,83060,631
REV-0000536,2012-08-09,5,Great quality,81915,979
REV-0000537,2012-07-30,5,Excellent product!,82755,702
REV-0000538,2012-07-30,3,"Decent, nothing special",79921,976
REV-0000539,2012-07-31,2,Below expectations,92502,1046
REV-0000540,2012-08-14,2,Below expectations,92537,967
REV-0000541,2012-08-16,5,Very satisfied,125116,676
REV-0000545,2012-08-03,5,Highly recommend,142741,1927
REV-0000546,2012-08-18,5,Excellent product!,143050,1916
REV-0000547,2012-07-27,5,Very satisfied,152063,2064
REV-0000548,2012-07-26,5,Highly recommend,152092,604
REV-0000549,2012-07-27,4,Works well,142541,767
REV-0000550,2012-08-21,5,Great quality,142541,768
REV-0000551,2012-08-16,5,Great quality,140106,725
REV-0000552,2012-08-18,4,Happy with purchase,138487,396
REV-0000553,2012-08-19,5,Highly recommend,139132,467
REV-0000554,2012-08-01,3,Mixed feelings,139137,635
REV-0000555,2012-08-17,5,Excellent product!,141524,93
REV-0000559,2012-08-24,5,Very satisfied,133282,2400
REV-0000560,2012-08-10,4,Good overall,133305,906
REV-0000561,2012-08-07,4,Happy with purchase,133312,2396
REV-0000563,2012-08-17,5,Highly recommend,134330,103
REV-0000564,2012-07-29,2,Some issues,135667,989
REV-0000566,2012-07-31,4,Happy with purchase,152842,976
REV-0000567,2012-08-18,4,Good overall,17084,940
REV-0000568,2012-08-01,5,Excellent product!,1563,396
REV-0000569,2012-08-09,5,Excellent product!,1915,1001
REV-0000570,2012-08-08,5,Very satisfied,8583,631
REV-0000571,2012-08-15,3,Average product,6110,769
REV-0000573,2012-07-28,3,Mixed feelings,4520,826
REV-0000574,2012-08-16,3,Mixed feelings,65289,976
REV-0000576,2012-08-22,5,Highly recommend,49328,2055
REV-0000577,2012-08-04,4,Works well,50545,2332
REV-0000578,2012-08-19,3,"Decent, nothing special",60550,981
REV-0000580,2012-08-09,2,Below expectations,61526,733
REV-0000581,2012-08-06,4,Good overall,61812,725
REV-0000582,2012-08-07,5,Very satisfied,61811,726
REV-0000583,2012-07-31,1,Very disappointed,19092,976
REV-0000584,2012-08-21,5,Great quality,70833,622
REV-0000585,2012-08-18,5,Excellent product!,71913,2054
REV-0000589,2012-08-15,3,"Decent, nothing special",23677,1348
REV-0000590,2012-07-30,4,Solid choice,28273,1109
REV-0000591,2012-08-10,1,Poor quality,26491,2407
REV-0000595,2012-08-17,5,Great quality,33943,2400
REV-0000596,2012-08-06,4,Good overall,31183,2199
REV-0000597,2012-08-06,2,Some issues,32821,2235
REV-0000598,2012-08-15,2,Some issues,113665,1182
REV-0000599,2012-07-25,4,Happy with purchase,102903,754
REV-0000601,2012-08-04,2,Below expectations,103301,910
REV-0000603,2012-08-16,5,Very satisfied,103980,396
REV-0000606,2012-08-06,5,Very satisfied,119259,1916
REV-0000607,2012-08-20,5,Excellent product!,119491,1065
REV-0000608,2012-08-01,2,Below expectations,119735,895
REV-0000609,2012-08-10,2,Below expectations,47382,2045
REV-0000610,2012-08-19,5,Very satisfied,79137,1061
REV-0000611,2012-08-05,4,Good overall,79584,757
REV-0000612,2012-08-03,4,Solid choice,112693,2070
REV-0000613,2012-08-09,4,Solid choice,94279,1926
REV-0000614,2012-08-17,3,Average product,94279,1927
REV-0000615,2012-08-06,3,"Decent, nothing special",112879,915
REV-0000616,2012-07-31,5,Great quality,125197,964
REV-0000617,2012-08-24,4,Happy with purchase,131654,1062
REV-0000618,2012-08-16,5,Great quality,130231,2012
REV-0000619,2012-07-29,4,Solid choice,107246,1450
REV-0000620,2012-08-21,5,Very satisfied,155172,739
REV-0000621,2012-07-25,2,Would not reorder,155222,795
REV-0000622,2012-08-09,5,Very satisfied,155222,796
REV-0000623,2012-08-04,5,Highly recommend,145098,609
REV-0000626,2012-08-12,4,Solid choice,113309,559
REV-0000627,2012-08-08,4,Solid choice,141043,396
REV-0000629,2012-08-06,4,Works well,138130,786
REV-0000630,2012-08-24,5,Highly recommend,141231,729
REV-0000632,2012-08-12,4,Good overall,146790,1123
REV-0000633,2012-08-07,3,Mixed feelings,149316,1974
REV-0000635,2012-08-22,5,Great quality,153028,725
REV-0000636,2012-07-24,4,Works well,153030,726
REV-0000637,2012-07-31,4,Happy with purchase,147710,768
REV-0000638,2012-08-16,5,Highly recommend,147709,767
REV-0000641,2012-08-12,4,Solid choice,8600,785
REV-0000642,2012-08-12,5,Highly recommend,3651,2252
REV-0000644,2012-07-28,4,Good overall,64540,1927
REV-0000645,2012-08-15,4,Happy with purchase,50593,1186
REV-0000650,2012-08-22,4,Good overall,63711,992
REV-0000651,2012-07-24,3,Mixed feelings,54457,2384
REV-0000653,2012-08-05,3,Mixed feelings,55942,964
REV-0000654,2012-08-24,5,Highly recommend,71616,573
REV-0000655,2012-08-18,4,Happy with purchase,52781,1927
REV-0000656,2012-07-30,5,Great quality,77838,786
REV-0000657,2012-08-18,1,Poor quality,27857,826
REV-0000658,2012-08-27,3,"Decent, nothing special",30712,757
REV-0000661,2012-08-21,3,"Decent, nothing special",115537,2400
REV-0000662,2012-07-27,1,Poor quality,103218,592
REV-0000663,2012-08-08,5,Highly recommend,91486,2241
REV-0000664,2012-08-08,4,Good overall,91584,467
REV-0000665,2012-07-25,4,Good overall,83650,976
REV-0000667,2012-08-05,3,"Decent, nothing special",96968,2241
REV-0000668,2012-08-18,5,Great quality,86425,1005
REV-0000669,2012-08-23,5,Very satisfied,95126,1014
